item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details,recommend_reason
0,,457857,8721123820516940,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/0161bf1b-5792-42af-a9a8-def664a66d87.jpg,0,0,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721123820516940,1,,,建面,精装修,108.708777,18.60363,,中和龙沐湾,中和龙沐湾,,龙沐湾国际旅游度假区,龙沐湾国际旅游度假区,6500,0,龙沐湾国际旅游度假区,zhlmwbabhx,[],[],[],"['现房', '低密居所']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2018-02-99,0,0,0,万/套,总价,60天,2019-09-05 17:11:46,2,,0,0,价格待定,,"[{'id': 'img_4117998', 'image_id': '4117998', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/7ffa0934-c8fd-44ce-8d2e-353409245476.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/7ffa0934-c8fd-44ce-8d2e-353409245476.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/7ffa0934-c8fd-44ce-8d2e-353409245476.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/7ffa0934-c8fd-44ce-8d2e-353409245476.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,0,万/套起,0,元/平起,2018-08-08 17:10:29,配套成熟，生态宜居,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243851100578017280,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017280"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""457857""}",,/loupan/p_zhlmwbabhx/,[],,[],,4,楼盘亮点,配套成熟，生态宜居,
0,,500388,8721127356788394,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/eb9644f0-851f-4763-b66f-cf9de0528bc8.jpg,0,0,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721127356788394,1,,,建面,毛坯,108.924397,18.443824,,傲景观澜·九龙湾,傲景观澜·九龙湾,,九所镇原镇政府所在地,九所镇原镇政府所在地,0,0,九所镇原镇政府所在地,ajgllwbcmfs,[],[],[],"['现房', '绿化率高']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",商业类,107500000010,下期待开,0,0,0,0,2011-05-01,0,0,0,万/套,总价,420天,2018-09-10 14:22:26,2,,0,0,价格待定,,"[{'id': 'img_4118368', 'image_id': '4118368', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/594dbb86-5072-48ac-9f6c-c821fa292e95.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/594dbb86-5072-48ac-9f6c-c821fa292e95.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/594dbb86-5072-48ac-9f6c-c821fa292e95.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/594dbb86-5072-48ac-9f6c-c821fa292e95.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,B199FF,0,万/套起,0,元/平起,2018-08-08 17:10:29,人文旅居，民俗风情,0,0,"[{'desc': '下期待开', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243851100578017281,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017281"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500388""}",,/loupan/p_ajgllwbcmfs/,[],,[],,4,楼盘亮点,人文旅居，民俗风情,
0,,500623,8721129536646138,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/94f037af-16be-4fb0-a32f-fdcc0116f4e4.jpg,0,0,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721129536646138,1,,,建面,精装修,109.183117,18.748189,,兴业福苑,兴业福苑,,乐祥路商业步行街旁,乐祥路商业步行街旁,0,0,乐祥路商业步行街旁,xyfybcmot,[],[],[],"['现房', '低密居所', '银行']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '9', 'desc': '银行', 'color': ''}]",住宅,107500000003,下期待开,0,0,0,0,2014-01-01,0,0,0,万/套,总价,445天,2018-08-16 17:26:28,2,,0,0,价格待定,,"[{'id': 'img_4118441', 'image_id': '4118441', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/07436468-1154-4986-8df6-8a0df227fd02.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/07436468-1154-4986-8df6-8a0df227fd02.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/07436468-1154-4986-8df6-8a0df227fd02.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/07436468-1154-4986-8df6-8a0df227fd02.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,0,万/套起,0,元/平起,2018-08-08 17:10:29,交通便利，园内配套设施成熟,0,0,"[{'desc': '下期待开', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243851100578017282,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017282"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500623""}",,/loupan/p_xyfybcmot/,[],,[],,4,楼盘亮点,交通便利，园内配套设施成熟,
0,,500685,8721130070514223,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/ffa598ae-ae2a-400c-a215-54a9f61f5264.jpg,68,78,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721130070514223,1,建面 68-78㎡,68-78㎡,建面,精装修,109.182345,18.750565,2居,华信广场,华信广场,华信广场山水云间,城区乐祥路与政府新规划路的十字路口,城区乐祥路华信广场销售中心,0,16500,城区乐祥路与政府新规划路的十字路口,hxgcbcmrd,[],[],"[{'bedroom_count': '2', 'area_range': '68.44-78.9㎡'}]","['小户型', '现房', '低密居所', '购物方便']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,下期待开,0,0,0,0,2015-01-01,0,0,16500,元/平,均价,60天,2019-09-05 17:24:49,2,,0,0,均价16500元/平,,"[{'id': 'img_4118470', 'image_id': '4118470', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/7154826b-5967-451b-b648-e1688e3ef477.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/7154826b-5967-451b-b648-e1688e3ef477.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/7154826b-5967-451b-b648-e1688e3ef477.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/7154826b-5967-451b-b648-e1688e3ef477.jpg!m_fill,w_1440,l_rorate_logo'}]",16500,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,103,万/套起,15049,元/平起,2018-08-08 17:10:29,规划工整，户型实用，设施齐全,0,0,"[{'desc': '下期待开', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243851100578017283,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017283"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500685""}",,/loupan/p_hxgcbcmrd/,[],,[],,4,楼盘亮点,规划工整，户型实用，设施齐全,
0,,619691,8721136036397869,469027,乐东黎族自治县,https://image1.ljcdn.com/newhouse-user-image/ba00475f3b441b6d77619f64ceede7ab.jpg,103,147,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721136036397869,3,建面 103-147㎡,103-147㎡,建面,精装修,109.195258,18.755925,3/4居,椰林阳光,椰林阳光,,沿江南路椰林阳光,沿江南路椰林阳光营销中心,0,17000,沿江南路椰林阳光,ylygbjgsh,['9.4折'],[],"[{'bedroom_count': '3', 'area_range': '103㎡'}, {'bedroom_count': '4', 'area_range': '143.21-147.43㎡'}]","['低密居所', '绿化率高', '购物方便', '美食云集']","[{'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-11-18,0,0,17000,元/平,均价,188天,2019-04-30 10:02:19,2,,0,0,均价17000元/平,,"[{'id': 'img_4663140', 'image_id': '4663140', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/9d6a81eee878c870b1dc0b5d559af68e.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/9d6a81eee878c870b1dc0b5d559af68e.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/9d6a81eee878c870b1dc0b5d559af68e.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/9d6a81eee878c870b1dc0b5d559af68e.jpg!m_fill,w_1440,l_rorate_logo'}]",17000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,155,万/套起,14990,元/平起,2018-11-23 15:58:37,宜居生态社区,0,0,[],[],243851100578017284,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017284"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""619691""}",,/loupan/p_ylygbjgsh/,[],,['9.4折'],一次性付款9.4折（2018年12月24日-2019年1月1日）,4,楼盘亮点,宜居生态社区,
0,,457856,8721123795292716,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/45138c0e-4c4a-46a1-838a-6f3a0a70f696.jpg,0,0,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721123795292716,4,,,建面,精装修,108.707947,18.60693,,福安温泉酒店,福安温泉酒店,龙沐湾·碧海明珠,佛罗镇龙沐湾旅游度假区,龙沐湾旅游度假区,19800,0,佛罗镇龙沐湾旅游度假区,fawqjdbabhw,[],[],[],['绿化率高'],"[{'id': '17', 'desc': '绿化率高', 'color': ''}]",商业类,107500000010,售罄,0,0,0,0,2017-05-99,0,0,0,万/套,总价,502天,2018-06-20 09:48:42,2,,0,0,价格待定,,"[{'id': 'img_4117926', 'image_id': '4117926', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/45138c0e-4c4a-46a1-838a-6f3a0a70f696.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/45138c0e-4c4a-46a1-838a-6f3a0a70f696.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/45138c0e-4c4a-46a1-838a-6f3a0a70f696.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/45138c0e-4c4a-46a1-838a-6f3a0a70f696.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,C0C5CF,B199FF,0,万/套起,0,元/平起,2018-08-08 17:11:39,酒店住房，度假体验,0,0,"[{'desc': '售罄', 'color': 'C0C5CF', 'text_color': 'FFFFFF'}]",[],243851100578017285,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017285"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""457856""}",,/loupan/p_fawqjdbabhw/,[],,[],,4,楼盘亮点,酒店住房，度假体验,
0,,457866,8721123853022102,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/b8811af8-436f-4da1-acd6-e4d5d588ba4d.jpg,290,290,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721123853022102,4,建面 290㎡,290㎡,建面,精装修,108.97091,18.412514,3居,隆鑫·诺亚方舟,隆鑫·诺亚方舟,龙栖湾观海1号,G225(中灶大桥),G225（中杜大桥）,0,0,G225(中灶大桥),lxyfzbabig,[],[],"[{'bedroom_count': '3', 'area_range': '290㎡'}]","['现房', '绿化率高', '休闲广场']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '60', 'desc': '休闲广场', 'color': ''}]",别墅,107500000004,售罄,0,0,0,0,2017-01-99,0,0,0,万/套,总价,188天,2019-04-30 10:01:08,2,,0,0,价格待定,,"[{'id': 'img_4118065', 'image_id': '4118065', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/c2c196d8-04ec-4118-8313-6a5e9b6d031b.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/c2c196d8-04ec-4118-8313-6a5e9b6d031b.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/c2c196d8-04ec-4118-8313-6a5e9b6d031b.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/c2c196d8-04ec-4118-8313-6a5e9b6d031b.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,C0C5CF,8FD24E,0,万/套起,0,元/平起,2018-08-08 17:10:29,,0,0,"[{'desc': '售罄', 'color': 'C0C5CF', 'text_color': 'FFFFFF'}]",[],243851100578017286,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017286"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""457866""}",,/loupan/p_lxyfzbabig/,[],,[],,,,,
0,,500008,8721124127849420,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/d860e80f-01e0-4dd3-997f-23b463cba25e.jpg,0,0,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721124127849420,4,,,建面,精装修,108.724611,18.6138,,龙沐湾·太阳城,龙沐湾·太阳城,,滨海龙沐湾度假区主干道—观霞大道,滨海龙沐湾度假区主干道—观霞大道,0,0,滨海龙沐湾度假区主干道—观霞大道,lmwycbclrc,[],[],[],"['绿化率高', '人车分流']","[{'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",商业类,107500000010,售罄,0,0,0,0,2017-02-18,0,0,0,万/套,总价,502天,2018-06-20 09:55:17,2,,0,0,价格待定,,"[{'id': 'img_4118076', 'image_id': '4118076', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/d860e80f-01e0-4dd3-997f-23b463cba25e.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/d860e80f-01e0-4dd3-997f-23b463cba25e.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/d860e80f-01e0-4dd3-997f-23b463cba25e.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/d860e80f-01e0-4dd3-997f-23b463cba25e.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,C0C5CF,B199FF,0,万/套起,0,元/平起,2018-08-08 17:14:41,配套成熟，旅游资源丰富,0,0,"[{'desc': '售罄', 'color': 'C0C5CF', 'text_color': 'FFFFFF'}]",[],243851100578017287,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017287"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500008""}",,/loupan/p_lmwycbclrc/,[],,[],,4,楼盘亮点,配套成熟，旅游资源丰富,
0,,500010,8721124145697093,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/d5c77023-c47d-4249-80a7-6363df9e06dd.jpg,0,0,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721124145697093,4,,,建面,精装修,108.946394,18.452901,,龙溪雅居,龙溪雅居,,九所新区山海湾二期与山海湾五期中间,九所新区山海湾二期与山海湾五期中间,12000,0,九所新区山海湾二期与山海湾五期中间,lxyjbclre,[],[],[],"['现房', '小型社区']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}]",住宅,107500000003,售罄,0,0,0,0,2017-03-01,0,0,0,万/套,总价,657天,2018-01-16 16:21:17,2,,0,0,价格待定,,"[{'id': 'img_4118098', 'image_id': '4118098', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/0458afd8-1c3a-4443-aad8-d626843daefd.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/0458afd8-1c3a-4443-aad8-d626843daefd.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/0458afd8-1c3a-4443-aad8-d626843daefd.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/0458afd8-1c3a-4443-aad8-d626843daefd.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,C0C5CF,FB9252,0,万/套起,0,元/平起,2018-08-08 17:14:01,景观舒适，生态宜居,0,0,"[{'desc': '售罄', 'color': 'C0C5CF', 'text_color': 'FFFFFF'}]",[],243851100578017288,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017288"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500010""}",,/loupan/p_lxyjbclre/,[],,[],,4,楼盘亮点,景观舒适，生态宜居,
0,,500019,8721124171961962,469027,乐东黎族自治县,https://image1.ljcdn.com/hdic-resblock/8cef4122-c9b0-4e47-9b58-ae43e86e6f95.jpg,0,0,乐东黎族自治县,乐东黎族自治县,23009242,1100001372,乐东,8721124171961962,4,,,建面,毛坯,108.975294,18.403527,,龙栖湾·波波利海岸,龙栖湾·波波利海岸,,九所新区龙栖湾旅游度假区,金鸡岭路13号,0,0,九所新区龙栖湾旅游度假区,lqwblhabclrn,[],[],[],"['绿化率高', '海景']","[{'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '62', 'desc': '海景', 'color': ''}]",别墅,107500000004,售罄,0,0,0,0,2015-10-99,0,0,0,万/套,总价,444天,2018-08-17 14:20:39,2,,0,0,价格待定,,"[{'id': 'img_4118131', 'image_id': '4118131', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/4abc14ed-4b24-4473-a3fa-d560e3b2265d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/4abc14ed-4b24-4473-a3fa-d560e3b2265d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/4abc14ed-4b24-4473-a3fa-d560e3b2265d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/4abc14ed-4b24-4473-a3fa-d560e3b2265d.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,C0C5CF,8FD24E,0,万/套起,0,元/平起,2018-08-08 17:15:21,特色园林，配套齐全，环境优美,0,0,"[{'desc': '售罄', 'color': 'C0C5CF', 'text_color': 'FFFFFF'}]",[],243851100578017289,"{""fb_query_id"":""243851100477353984"",""fb_expo_id"":""243851100578017289"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500019""}",,/loupan/p_lqwblhabclrn/,[],,[],,4,楼盘亮点,特色园林，配套齐全，环境优美,
