item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details,recommend_reason
0,,20063,8702121275708592,511100,乐山市,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,173,227,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702121275708592,3,建面 173-227㎡,173-227㎡,建面,毛坯,103.464043,29.58355,4/5居,峨眉山与湖,峨眉山与湖,,名山路南段188号,名山路南段188号,0,17000,名山路南段188号,emsyhabdrr,[],[],"[{'bedroom_count': '4', 'area_range': '173-205㎡'}]","['现房', '低密居所', '购物方便', '娱乐丰富']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-05-99,0,5000000,500,万/套,总价,210天,2019-04-08 15:09:49,2,,0,0,总价500万/套,101,"[{'id': 'img_4082146', 'image_id': '4082146', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/e3fc8ae0-259b-4154-aa21-9c7e385c0f11.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/e3fc8ae0-259b-4154-aa21-9c7e385c0f11.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/e3fc8ae0-259b-4154-aa21-9c7e385c0f11.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/e3fc8ae0-259b-4154-aa21-9c7e385c0f11.jpg!m_fill,w_1440,l_rorate_logo'}]",17000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,300,万/套起,17241,元/平起,2017-04-28 13:44:25,峨眉临湖别墅，总价230万起,0,0,[],[],243851107472846848,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846848"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""20063""}",,/loupan/p_emsyhabdrr/,[],,[],,4,楼盘亮点,峨眉临湖别墅，总价230万起,
0,,20866,8702122213455690,511100,乐山市,https://image1.ljcdn.com/hdic-resblock/bb68b6bc-e968-4b40-8166-46c4ee580f65.jpg,410,448,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702122213455690,3,建面 410-448㎡,410-448㎡,建面,毛坯,103.4685,29.577115,4/5居,峨眉青庐,峨眉青庐,峨眉青庐,峨山镇朝拜路88号,峨山镇朝拜路88号,8800,8800,峨山镇朝拜路88号,emqlabewo,[],[],"[{'bedroom_count': '4', 'area_range': '448.58㎡'}, {'bedroom_count': '5', 'area_range': '410.71㎡'}]","['低单价', '现房', '车位充足', '娱乐丰富']","[{'id': '24', 'desc': '低单价', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2013-10-26,0,4100000,8800,元/平,均价,195天,2019-04-23 13:57:17,2,,0,0,均价8800元/平,101,"[{'id': 'img_4082423', 'image_id': '4082423', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/dd2aa41f-4506-4f8f-a4e7-c45b8edb0145.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/dd2aa41f-4506-4f8f-a4e7-c45b8edb0145.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/dd2aa41f-4506-4f8f-a4e7-c45b8edb0145.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/dd2aa41f-4506-4f8f-a4e7-c45b8edb0145.jpg!m_fill,w_1440,l_rorate_logo'}]",8800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,349,万/套起,8493,元/平起,2017-06-02 11:16:18,峨眉景区别墅，清水现房发售,0,0,[],[],243851107472846849,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846849"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""20866""}",,/loupan/p_emqlabewo/,[],,[],,4,楼盘亮点,峨眉景区别墅，清水现房发售,
0,,20892,8702122390666360,511100,乐山市,https://image1.ljcdn.com/hdic-resblock/5ad4f8a1-7b0f-4b6c-98b3-46e359e128e1.jpg,131,131,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702122390666360,3,建面 131㎡,131㎡,建面,毛坯,103.470117,29.587857,4居,山水峨眉,山水峨眉,山水峨眉,名山路南段26号,峨眉山市绥山镇佛光南路,8000,6500,名山路南段26号,ssemabexo,[],[],[],"['近主干道', '现房', '低密居所', '娱乐丰富']","[{'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-01,0,780000,6500,元/平,均价,168天,2019-05-20 13:27:30,2,,2,0,均价6500元/平,,"[{'id': 'img_4082549', 'image_id': '4082549', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/82c8227b-7f59-48f0-b699-2e9ecb6228bb.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/82c8227b-7f59-48f0-b699-2e9ecb6228bb.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/82c8227b-7f59-48f0-b699-2e9ecb6228bb.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/82c8227b-7f59-48f0-b699-2e9ecb6228bb.jpg!m_fill,w_1440,l_rorate_logo'}]",6500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2017-06-02 09:26:51,,0,0,[],[],243851107472846850,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846850"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""20892""}",,/loupan/p_ssemabexo/,[],,[],,,,,
0,,20893,8702122390666360,511100,乐山市,https://image1.ljcdn.com/hdic-resblock/5ad4f8a1-7b0f-4b6c-98b3-46e359e128e1.jpg,188,218,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702122390666360,3,建面 188-218㎡,188-218㎡,建面,毛坯,103.470117,29.587857,4居,山水峨眉,山水峨眉,山水峨眉,名山路南段26号,峨山镇名山兰路26号,0,0,名山路南段26号,ssemabexp,[],[],"[{'bedroom_count': '4', 'area_range': '188-218㎡'}]","['现房', '低密居所', '娱乐丰富', '美食云集']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2017-04-15,0,3000000,300,万/套,总价,181天,2019-05-07 10:47:45,2,,0,0,总价300万/套,101,"[{'id': 'img_4082549', 'image_id': '4082549', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/82c8227b-7f59-48f0-b699-2e9ecb6228bb.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/82c8227b-7f59-48f0-b699-2e9ecb6228bb.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/82c8227b-7f59-48f0-b699-2e9ecb6228bb.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/82c8227b-7f59-48f0-b699-2e9ecb6228bb.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,280,万/套起,13761,元/平起,2017-06-01 18:40:19,别墅总价210万起,0,0,[],[],243851107472846851,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846851"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""20893""}",,/loupan/p_ssemabexp/,[],,[],,4,楼盘亮点,别墅总价210万起,
0,,23103,8702123777467979,511100,乐山市,https://image1.ljcdn.com/hdic-resblock/6c2a2b7a-c8a8-4a67-ab80-f4644f926012.jpg,32,32,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702123777467979,3,建面 32㎡,32㎡,建面,精装修,103.464451,29.572069,1居,峨眉时光,峨眉时光,峨眉时光,峨山镇温泉大道333号,峨山镇温泉大道333号,13000,13800,峨山镇温泉大道333号,emsgabiep,[],[],"[{'bedroom_count': '1', 'area_range': '32㎡'}]","['低单价', '低总价', '小户型', '公交直达']","[{'id': '24', 'desc': '低单价', 'color': ''}, {'id': '25', 'desc': '低总价', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}]",商业类,107500000017,在售,0,0,0,0,2019-02-25,0,565800,13800,元/平,均价,131天,2019-06-26 15:04:26,2,,0,0,均价13800元/平,,"[{'id': 'img_4082703', 'image_id': '4082703', 'type_id': '101900000003', 'type_name': '项目现场', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/5fc52e61-6df8-4baa-8c7c-6e5b4ae2da62.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/5fc52e61-6df8-4baa-8c7c-6e5b4ae2da62.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/5fc52e61-6df8-4baa-8c7c-6e5b4ae2da62.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/5fc52e61-6df8-4baa-8c7c-6e5b4ae2da62.jpg!m_fill,w_1440,l_rorate_logo'}]",13800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,4CC1EC,35,万/套起,10937,元/平起,2017-08-01 11:02:27,峨眉山脚不限购公寓,0,0,[],[],243851107472846852,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846852"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""23103""}",,/loupan/p_emsgabiep/,[],,[],,4,楼盘亮点,峨眉山脚不限购公寓,
0,,26191,8702123777467979,511100,乐山市,https://image1.ljcdn.com/hdic-resblock/ba94c754-74f0-4ec0-ad6e-fe065895100c.jpg,32,52,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702123777467979,3,建面 32-52㎡,32-52㎡,建面,精装修,103.464451,29.572069,1居,峨眉时光,峨眉时光,,峨山镇温泉大道333号,峨眉山市温泉大道333号,16000,12000,峨山镇温泉大道333号,emsgabmtj,[],[],"[{'bedroom_count': '1', 'area_range': '52㎡'}]","['小户型', '公交直达', '现房', '低密居所']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-08,0,680000,12000,元/平,均价,147天,2019-06-10 16:46:45,2,,0,0,均价12000元/平,101,"[{'id': 'img_4082721', 'image_id': '4082721', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/ba94c754-74f0-4ec0-ad6e-fe065895100c.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/ba94c754-74f0-4ec0-ad6e-fe065895100c.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/ba94c754-74f0-4ec0-ad6e-fe065895100c.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/ba94c754-74f0-4ec0-ad6e-fe065895100c.jpg!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,71,万/套起,13653,元/平起,2017-12-20 16:10:05,峨眉山脚小洋房,0,0,[],[],243851107472846853,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846853"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""26191""}",,/loupan/p_emsgabmtj/,[],,[],,4,楼盘亮点,峨眉山脚小洋房,
0,,609699,8702134734513687,511100,乐山市,https://image1.ljcdn.com/hdic-resblock/472f1473-d123-4062-98d4-fd4d9dba215d.jpg,53,78,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702134734513687,3,建面 53-78㎡,53-78㎡,建面,毛坯,103.502659,29.624058,2/3居,峨眉长岛,峨眉长岛,峨眉长岛,佛光东路928号,佛光东路东50米,0,7000,佛光东路928号,emcdbirxz,[],[],"[{'bedroom_count': '2', 'area_range': '53.3㎡'}, {'bedroom_count': '3', 'area_range': '68.47-78.82㎡'}]","['小户型', '绿化率高', '人车分流']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-25,0,560000,7000,元/平,均价,190天,2019-04-28 14:03:58,2,,0,0,均价7000元/平,101,"[{'id': 'img_4082901', 'image_id': '4082901', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/472f1473-d123-4062-98d4-fd4d9dba215d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/472f1473-d123-4062-98d4-fd4d9dba215d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/472f1473-d123-4062-98d4-fd4d9dba215d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/472f1473-d123-4062-98d4-fd4d9dba215d.jpg!m_fill,w_1440,l_rorate_logo'}]",7000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,37,万/套起,6941,元/平起,2018-10-15 17:32:42,底单价得套二套三,0,0,[],[],243851107472846854,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846854"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""609699""}",,/loupan/p_emcdbirxz/,[],,[],,4,楼盘亮点,底单价得套二套三,
0,,614520,8702135348106384,511100,乐山市,https://image1.ljcdn.com/hdic-resblock/prod-35a9b2f1-fb98-4de3-bda7-87a671ad106ephpbLBQPL,35,65,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702135348106384,3,建面 35-65㎡,35-65㎡,建面,精装修,103.462744,29.571624,1/2居,峨眉见山府,峨眉见山府,,名山南路峨眉见山府,名山南路峨眉见山府,0,11500,名山南路峨眉见山府,emjsfbizbk,[],[],"[{'bedroom_count': '1', 'area_range': '35-55㎡'}, {'bedroom_count': '2', 'area_range': '65㎡'}]","['小户型', '公交直达', '低密居所', '人车分流']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-08-24,0,420000,11500,元/平,均价,179天,2019-05-09 15:11:32,2,,0,0,均价11500元/平,101,"[{'id': 'img_4390480', 'image_id': '4390480', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-35a9b2f1-fb98-4de3-bda7-87a671ad106ephpbLBQPL', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-35a9b2f1-fb98-4de3-bda7-87a671ad106ephpbLBQPL!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-35a9b2f1-fb98-4de3-bda7-87a671ad106ephpbLBQPL!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-35a9b2f1-fb98-4de3-bda7-87a671ad106ephpbLBQPL!m_fill,w_1440,l_rorate_logo'}]",11500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,42,万/套起,10000,元/平起,2018-10-26 15:42:33,峨眉山脚小户型住宅,0,0,[],[],243851107472846855,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846855"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""614520""}",,/loupan/p_emjsfbizbk/,[],,[],,4,楼盘亮点,峨眉山脚小户型住宅,
0,,614521,8702135394239658,511100,乐山市,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,45,51,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702135394239658,3,建面 45-51㎡,45-51㎡,建面,精装修,103.477154,29.56805,1居,smart度假汤屋,smart度假汤屋,峨眉山天颐温泉度假小镇,温泉大道1号,峨眉山天颐温泉度假酒店,0,13000,温泉大道1号,sdjtwbizbl,[],[],"[{'bedroom_count': '1', 'area_range': '45-51㎡'}]","['低单价', '低总价', '小户型', '车位充足']","[{'id': '24', 'desc': '低单价', 'color': ''}, {'id': '25', 'desc': '低总价', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",商业类,107500000017,在售,0,0,0,0,2018-11-11,0,550000,13000,元/平,均价,210天,2019-04-08 15:09:49,2,,0,0,均价13000元/平,101,"[{'id': 'img_4454151', 'image_id': '4454151', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-782d882d-4597-43fd-82d3-38939ce5fbd8phpNRpaqS', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-782d882d-4597-43fd-82d3-38939ce5fbd8phpNRpaqS!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-782d882d-4597-43fd-82d3-38939ce5fbd8phpNRpaqS!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-782d882d-4597-43fd-82d3-38939ce5fbd8phpNRpaqS!m_fill,w_1440,l_rorate_logo'}]",13000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,4CC1EC,58,万/套起,12888,元/平起,2019-01-30 10:12:10,温泉度假公寓，单价1.3万起,0,0,[],[],243851107472846856,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846856"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""614521""}",,/loupan/p_sdjtwbizbl/,[],,[],,4,楼盘亮点,温泉度假公寓，单价1.3万起,
0,,616055,8702135369209507,511100,乐山市,https://image1.ljcdn.com/newhouse-user-image/7e2bac9275dbe288499443715458d164.prod-969b2cc3-fca8-4885-a12a-983d5c1a6d30phphXTNEg,142,142,峨眉山市,峨眉山市,23009140,1100001131,峨眉山市,8702135369209507,3,建面 142㎡,142㎡,建面,,103.477752,29.567647,3居,桃李春风,桃李春风,峨眉山天颐温泉度假小镇,温泉大道1号,峨秀湖公园心庐会所,0,55000,温泉大道1号,tlcfbjbil,[],[],"[{'bedroom_count': '3', 'area_range': '142.52-142.92㎡'}]","['人车分流', '小型社区', '购物方便', '美食云集']","[{'id': '52', 'desc': '人车分流', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-06-01,0,7800000,55000,元/平,均价,210天,2019-04-08 15:09:49,2,,0,0,均价55000元/平,101,"[{'id': 'img_4447552', 'image_id': '4447552', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-c571c4d4-bcc2-4060-8d3c-9dc19bb6d6f4phpNdvz1y', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-c571c4d4-bcc2-4060-8d3c-9dc19bb6d6f4phpNdvz1y!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-c571c4d4-bcc2-4060-8d3c-9dc19bb6d6f4phpNdvz1y!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-c571c4d4-bcc2-4060-8d3c-9dc19bb6d6f4phpNdvz1y!m_fill,w_1440,l_rorate_logo'}]",55000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,780,万/套起,54575,元/平起,2019-01-30 10:12:37,温泉度假别墅，总价500万起,0,0,[],[],243851107472846857,"{""fb_query_id"":""243851107351212034"",""fb_expo_id"":""243851107472846857"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""616055""}",,/loupan/p_tlcfbjbil/,[],,[],,4,楼盘亮点,温泉度假别墅，总价500万起,
