item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,recommend_reason,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm
0,,457723,8712123145944165,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/360aa4b5-8ae4-4c9c-842f-d3069d7579e4.jpg,74,100,大理市,大理市,23009201,1100006026,满江片区,8712123145944165,3,建面 74-100㎡,74-100㎡,建面,毛坯,100.294973,25.647065,2居,大理公馆,大理公馆,,环海路石房子山,大理市政环海路石房子山,26800,15000,环海路石房子山,dlggbabct,['全款9.5折  贷款9.7折'],[],"[{'bedroom_count': '2', 'area_range': '74.46-100.42㎡'}]","['低总价', '小户型', '复式', '低密居所']","[{'id': '25', 'desc': '低总价', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '16', 'desc': '复式', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-05-19,0,935000,93.5,万/套,总价,145天,2019-06-12 17:51:44,2,,2,0,总价93.5万/套,,"[{'id': 'img_4112747', 'image_id': '4112747', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/1bdbea28-b866-45e5-b326-63af11626bd4.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/1bdbea28-b866-45e5-b326-63af11626bd4.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/1bdbea28-b866-45e5-b326-63af11626bd4.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/1bdbea28-b866-45e5-b326-63af11626bd4.jpg!m_fill,w_1440,l_rorate_logo'}]",15000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,110,万/套起,14439,元/平起,2019-06-12 17:51:51,,0,0,[],[],243850438082912256,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912256"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""457723""}",,,/loupan/p_dlggbabct/,[],,['全款9.5折  贷款9.7折'],全款优惠5%，按揭优惠3%
0,,500113,8712124661849032,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/fad6eb0b-35bd-4ac1-8737-092679628581.jpg,77,146,大理市,大理市,23009201,1100006024,下关北区,8712124661849032,3,建面 77-146㎡,77-146㎡,建面,毛坯,100.218764,25.613446,2/3/4居,惠丰瑞城,惠丰瑞城,瑞城,大理鸡足山路9号,人民北路与西环线交叉口,6500,14000,大理鸡足山路9号,hfrcbclvd,[],[],"[{'bedroom_count': '2', 'area_range': '77.35-82.06㎡'}, {'bedroom_count': '3', 'area_range': '92.94-124.42㎡'}, {'bedroom_count': '4', 'area_range': '130.31-146㎡'}]","['低总价', '小户型', '绿化率高', '大型社区']","[{'id': '25', 'desc': '低总价', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2014-03-01,0,1080000,14000,元/平,均价,110天,2019-07-17 17:59:14,2,,2,0,均价14000元/平,,"[{'id': 'img_4112991', 'image_id': '4112991', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/9a797464-7cfe-48ea-82d8-007eb15065f5.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/9a797464-7cfe-48ea-82d8-007eb15065f5.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/9a797464-7cfe-48ea-82d8-007eb15065f5.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/9a797464-7cfe-48ea-82d8-007eb15065f5.jpg!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,108,万/套起,13878,元/平起,2019-07-17 19:33:36,,0,0,[],[],243850438082912257,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912257"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500113""}",,,/loupan/p_hfrcbclvd/,[],,[],
0,,500121,8712124672337302,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/7ea13f99-b7bd-4317-855c-6d3faf992f9a.jpg,0,0,大理市,大理市,23009201,1100006026,满江片区,8712124672337302,3,,,建面,毛坯,100.292068,25.646346,,洱海传奇,洱海传奇,大理洱海传奇,满江·滨海大道机场路·石房子,满江·滨海大道机场路·石房子·洱海传奇商业会所一楼,9000,11000,满江·滨海大道机场路·石房子,ehcqbclvl,[],[],[],"['低单价', '低总价', '现房', '低密居所']","[{'id': '24', 'desc': '低单价', 'color': ''}, {'id': '25', 'desc': '低总价', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2010-09-01,0,2365000,11000,元/平,均价,175天,2019-05-13 11:29:12,2,,0,0,均价11000元/平,101,"[{'id': 'img_4113052', 'image_id': '4113052', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/4081b8a1-de55-45e1-80ab-5f6ef4a469df.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/4081b8a1-de55-45e1-80ab-5f6ef4a469df.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/4081b8a1-de55-45e1-80ab-5f6ef4a469df.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/4081b8a1-de55-45e1-80ab-5f6ef4a469df.jpg!m_fill,w_1440,l_rorate_logo'}]",11000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,0,万/套起,0,元/平起,2019-03-11 09:45:49,,0,0,[],[],243850438082912258,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912258"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500121""}",,,/loupan/p_ehcqbclvl/,[],,[],
0,,500146,8712124805545525,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/0845f45c-6bc0-4153-8859-ba7cd9c7fc0f.jpg,413,413,大理市,大理市,23009201,1100006023,古城,8712124805545525,3,建面 413㎡,413㎡,建面,毛坯,100.167039,25.684201,8居,古城大院里,古城大院里,"大理古城三合院, 大理古城和居",学府路73号（亚星酒店旁）,大理市古城区学府路73号（亚星酒店旁）,17000,22000,学府路73号（亚星酒店旁）,gcdylbclwk,[],[],"[{'bedroom_count': '8', 'area_range': '413.65㎡'}]","['低总价', '现房', '车位充足', '美食云集']","[{'id': '25', 'desc': '低总价', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2012-10-99,0,5770000,22000,元/平,均价,145天,2019-06-12 17:51:44,2,,2,0,均价22000元/平,101,"[{'id': 'img_4113193', 'image_id': '4113193', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/2724b64c-611c-415e-aaf7-17e3ace4f762.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/2724b64c-611c-415e-aaf7-17e3ace4f762.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/2724b64c-611c-415e-aaf7-17e3ace4f762.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/2724b64c-611c-415e-aaf7-17e3ace4f762.jpg!m_fill,w_1440,l_rorate_logo'}]",22000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,910,万/套起,21999,元/平起,2019-06-12 17:51:51,,0,0,[],[],243850438082912259,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912259"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500146""}",,,/loupan/p_gcdylbclwk/,[],,[],"按揭99折，分期98折，全款97折
"
0,,500205,8712125443299948,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/edfbde62-95fb-455b-901d-eed24f85bc10.png,119,205,大理市,大理市,23009201,1100006026,满江片区,8712125443299948,3,建面 119-205㎡,119-205㎡,建面,毛坯,100.287618,25.640918,3/4/5居,外滩名著,外滩名著,外滩名著,滨海大道玉白菜湿地公园对面,大理市机场路玉白菜湿地公园对面,8500,11000,滨海大道玉白菜湿地公园对面,wtmzbclyr,[],[],"[{'bedroom_count': '3', 'area_range': '119.5-130.3㎡'}, {'bedroom_count': '4', 'area_range': '145.8-171.2㎡'}, {'bedroom_count': '5', 'area_range': '205㎡'}]","['低总价', '公交直达', '现房', '绿化率高']","[{'id': '25', 'desc': '低总价', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2015-05-31,0,1750000,11000,元/平,均价,161天,2019-05-27 18:11:17,2,,2,0,均价11000元/平,101,"[{'id': 'img_4113445', 'image_id': '4113445', 'type_id': '102000000003', 'type_name': '样板间', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/1076339f-5d2b-42cd-b0cd-cde418630d2c.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/1076339f-5d2b-42cd-b0cd-cde418630d2c.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/1076339f-5d2b-42cd-b0cd-cde418630d2c.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/1076339f-5d2b-42cd-b0cd-cde418630d2c.jpg!m_fill,w_1440,l_rorate_logo'}]",11000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,165,万/套起,13031,元/平起,2019-05-27 18:11:21,,0,0,[],[],243850438082912260,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912260"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500205""}",,,/loupan/p_wtmzbclyr/,[],,[],
0,,500206,8712125640433243,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/c6a326c7-7dbd-4952-9e2c-684eb6c3b640.jpg,107,145,大理市,大理市,23009201,1100006026,满江片区,8712125640433243,3,建面 107-145㎡,107-145㎡,建面,精装修,100.283863,25.636776,2/3居,洱海寰球时代,洱海寰球时代,"建投洱海寰球时代, 洱海寰球时代",机场路与凤飞路交界,机场路与凤飞路交界,14000,14000,机场路与凤飞路交界,ehhqsdbclys,[],[],"[{'bedroom_count': '2', 'area_range': '107.07-123.83㎡'}, {'bedroom_count': '3', 'area_range': '138.32-145.57㎡'}]","['现房', '绿化率高']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2017-10-15,0,1010000,14000,元/平,均价,182天,2019-05-06 11:13:48,2,,0,0,均价14000元/平,101,"[{'id': 'img_4113553', 'image_id': '4113553', 'type_id': '102000000003', 'type_name': '样板间', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/395de46b-e167-4fb5-8e8c-081a2ee30eb2.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/395de46b-e167-4fb5-8e8c-081a2ee30eb2.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/395de46b-e167-4fb5-8e8c-081a2ee30eb2.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/395de46b-e167-4fb5-8e8c-081a2ee30eb2.jpg!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,155,万/套起,13970,元/平起,2019-05-06 11:13:58,,0,0,[],[],243850438082912261,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912261"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500206""}",,,/loupan/p_ehhqsdbclys/,[],,[],
0,,500250,8712126044180366,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/f85de696-9e37-46fd-bcd6-ed824f0ccdb7.jpg,313,345,大理市,大理市,23009201,1100001294,市区,8712126044180366,3,建面 313-345㎡,313-345㎡,建面,精装修,100.243076,25.606175,4居,俊发滨海俊园,俊发滨海俊园,,滨海大道大理港码头对面,大理市滨海大道大理港码头对面滨海俊园售楼部,0,0,滨海大道大理港码头对面,jfbhjybcmak,[],[],"[{'bedroom_count': '4', 'area_range': '313-345㎡'}]","['低总价', '公交直达', '现房', '大型社区']","[{'id': '25', 'desc': '低总价', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-10-31,0,6000000,600,万/套,总价,182天,2019-05-06 11:36:57,2,,0,0,总价600万/套,,"[{'id': 'img_4113622', 'image_id': '4113622', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/1c51df36-eba6-4cdb-be43-a2b9132c5a20.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/1c51df36-eba6-4cdb-be43-a2b9132c5a20.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/1c51df36-eba6-4cdb-be43-a2b9132c5a20.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/1c51df36-eba6-4cdb-be43-a2b9132c5a20.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,595,万/套起,19009,元/平起,2019-05-06 11:37:02,,0,0,[],[],243850438082912262,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912262"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500250""}",,,/loupan/p_jfbhjybcmak/,[],,[],
0,,500282,8712124904224435,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/eb540bc2-3b50-4a8c-8ac7-58d234d5363c.jpg,56,612,大理市,大理市,23009201,1100006028,海东,8712124904224435,1,建面 56-612㎡,56-612㎡,建面,毛坯,100.285225,25.667919,1/2/3/4/5/6居,梦云南海东方,梦云南海东方,,海东新城中心区北侧,博爱路古榕会馆昆明展示中心,20000,20000,海东新城中心区北侧,mynhdfbcmbq,[],[],[],"['现房', '低密居所']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",别墅,107500000004,未开盘,0,0,0,0,2017-06-01,0,0,0,万/套,总价,182天,2019-05-06 11:13:48,2,,0,0,价格待定,,"[{'id': 'img_4113338', 'image_id': '4113338', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/bee76b2f-010c-4cb6-8080-89ef848f46e2.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/bee76b2f-010c-4cb6-8080-89ef848f46e2.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/bee76b2f-010c-4cb6-8080-89ef848f46e2.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/bee76b2f-010c-4cb6-8080-89ef848f46e2.jpg!m_fill,w_1440,l_rorate_logo'}]",20000,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,8FD24E,0,万/套起,0,元/平起,2019-05-06 11:13:58,,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243850438082912263,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912263"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500282""}",,,/loupan/p_mynhdfbcmbq/,[],,[],
0,,500287,8712126399083694,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/3eff7586-250c-4170-b109-39d64685eb62.jpg,111,121,大理市,大理市,23009201,1100006023,古城,8712126399083694,1,建面 111-121㎡,111-121㎡,建面,毛坯,100.175896,25.712567,2居,大理密湾旅游文化小镇,大理密湾旅游文化小镇,,月华路与大丽路交叉口,下关镇南涧路小花园旁,0,40000,月华路与大丽路交叉口,dlmwlywhxzbcmbv,[],[],[],"['低密居所', '大型社区']","[{'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",别墅,107500000004,未开盘,0,0,0,0,2013-03-24,0,0,40000,元/平,均价,208天,2019-04-10 17:03:52,2,,0,0,均价40000元/平,,"[{'id': 'img_4113712', 'image_id': '4113712', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/ff0b055e-3f15-4067-a3c3-ef50dcd71797.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/ff0b055e-3f15-4067-a3c3-ef50dcd71797.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/ff0b055e-3f15-4067-a3c3-ef50dcd71797.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/ff0b055e-3f15-4067-a3c3-ef50dcd71797.jpg!m_fill,w_1440,l_rorate_logo'}]",40000,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,8FD24E,0,万/套起,0,元/平起,2019-04-10 17:05:30,,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243850438082912264,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912264"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500287""}",,,/loupan/p_dlmwlywhxzbcmbv/,[],,[],
0,,500293,8712126458847207,532900,大理白族自治州,https://image1.ljcdn.com/hdic-resblock/31a76629-af0f-4f2c-a40e-8c6c1e353a10.jpg,106,106,大理市,大理市,23009201,1100006023,古城,8712126458847207,3,建面 106㎡,106㎡,建面,毛坯,100.182854,25.657341,3居,钜融城左岸高地,钜融城左岸高地,左岸高地,苍山大道钜融城（感通路北侧）,大理苍山大道钜融城艺术中心（感通路北侧）,11000,18800,苍山大道钜融城（感通路北侧）,jrczagdbcmcb,[],[],"[{'bedroom_count': '3', 'area_range': '106.19㎡'}]","['低总价', '低密居所', '即将交房', '购物方便']","[{'id': '25', 'desc': '低总价', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '20', 'desc': '即将交房', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2015-06-15,0,2000000,18800,元/平,均价,208天,2019-04-10 17:03:52,2,,2,0,均价18800元/平,101,"[{'id': 'img_4113727', 'image_id': '4113727', 'type_id': '102000000003', 'type_name': '样板间', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/2396f9bd-d776-4157-85f2-4f0c796a08aa.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/2396f9bd-d776-4157-85f2-4f0c796a08aa.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/2396f9bd-d776-4157-85f2-4f0c796a08aa.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/2396f9bd-d776-4157-85f2-4f0c796a08aa.jpg!m_fill,w_1440,l_rorate_logo'}]",18800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,200,万/套起,18834,元/平起,2019-04-10 17:05:30,,0,0,[],[],243850438082912265,"{""fb_query_id"":""243850437919334400"",""fb_expo_id"":""243850438082912265"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""500293""}",,,/loupan/p_jrczagdbcmcb/,[],,[],
