item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,recommend_reason,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm
0,,100108,8737127397772494,320300,徐州市,https://image1.ljcdn.com/hdic-resblock/prod-809c066d-2881-4eab-91c3-a5f6882c5140phpgXEkNc,110,164,云龙区,云龙区,23009398,1100003944,金龙湖,8737127397772494,1,建面 110-164㎡,110-164㎡,建面,精装修,117.269589,34.26162,3/4居,万科翡翠之光,万科翡翠之光,翡翠之光小区,云龙区万达东约1300米,云龙区和平路以北，云苑路以东（云龙万达东约1300米）,0,0,云龙区万达东约1300米,wkfczgafsci,[],[],"[{'bedroom_count': '3', 'area_range': '110-139㎡'}, {'bedroom_count': '4', 'area_range': '158-164㎡'}]","['品牌房企', '花园洋房', '公交直达', '即将交房']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '26', 'desc': '花园洋房', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '20', 'desc': '即将交房', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2018-12-23,0,1700000,0,元/平,均价,367天,2018-11-02 18:14:44,2,,0,0,价格待定,2,"[{'id': 'img_4633538', 'image_id': '4633538', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-2edd1a55-234a-469c-bc5c-1d8364b26ac2phpzLd7LJ', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-2edd1a55-234a-469c-bc5c-1d8364b26ac2phpzLd7LJ!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-2edd1a55-234a-469c-bc5c-1d8364b26ac2phpzLd7LJ!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-2edd1a55-234a-469c-bc5c-1d8364b26ac2phpzLd7LJ!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,170,万/套起,13536,元/平起,2018-06-01 10:19:26,,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243852194339266560,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266560"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100108""}",,,/loupan/p_wkfczgafsci/,[],,[],
0,,100154,8737131597960738,320300,徐州市,https://image1.ljcdn.com/hdic-resblock/prod-2d011540-be70-4496-a00c-3225d034de56phpRISgHT,102,135,新城区,新城区,23009805,1100003980,工业园,8737131597960738,3,建面 102-135㎡,102-135㎡,建面,毛坯,117.217398,34.172161,3/4居,珍宝岛·熙悦府,珍宝岛·熙悦府,熙悦府,铜山高新区珠江路与长安路交汇处,铜山高新区珠江路与长安路交汇处,0,8500,铜山高新区珠江路与长安路交汇处,zbdyfafsec,[],[],"[{'bedroom_count': '3', 'area_range': '130㎡'}, {'bedroom_count': '4', 'area_range': '135㎡'}]","['贴心物业', '绿化率高', '大型社区', '医疗配套']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '10', 'desc': '医疗配套', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-03-04,0,1100000,110,万/套,总价,161天,2019-05-27 09:40:06,2,,0,0,总价110万/套,101,"[{'id': 'img_5141332', 'image_id': '5141332', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/515c9c1423125e7df91368a354604cae.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/515c9c1423125e7df91368a354604cae.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/515c9c1423125e7df91368a354604cae.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/515c9c1423125e7df91368a354604cae.jpg!m_fill,w_1440,l_rorate_logo'}]",8500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,111,万/套起,8296,元/平起,2018-06-04 10:02:10,,0,0,[],[],243852194339266561,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266561"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100154""}",,,/loupan/p_zbdyfafsec/,[],,[],
0,,60341,8737127724044713,320300,徐州市,https://image1.ljcdn.com/hdic-resblock/58b58102-934c-4234-8e05-15c4b747a957.jpg,95,125,金山桥开发区,金山桥开发区,23009806,1100003955,下淀,8737127724044713,1,建面 95-125㎡,95-125㎡,建面,精装修,117.241463,34.29819,3/4居,美的·乐城,美的·乐城,"美的乐城,乐城小区",下淀路260号,鼓楼区下淀路262号（原煤机厂位置）,10000,0,下淀路260号,mdycadlgv,[],[],"[{'bedroom_count': '3', 'area_range': '95-115㎡'}, {'bedroom_count': '4', 'area_range': '125㎡'}]","['品牌房企', '公交直达', '现房', '绿化率高']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2019-04-29,0,0,0,元/平,均价,367天,2018-11-02 18:14:44,2,,0,0,价格待定,36,"[{'id': 'img_4125137', 'image_id': '4125137', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/58b58102-934c-4234-8e05-15c4b747a957.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/58b58102-934c-4234-8e05-15c4b747a957.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/58b58102-934c-4234-8e05-15c4b747a957.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/58b58102-934c-4234-8e05-15c4b747a957.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,100,万/套起,10000,元/平起,2018-05-05 10:33:18,,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243852194339266562,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266562"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""60341""}",,,/loupan/p_mdycadlgv/,[],,[],
0,,605671,8737134095632716,320300,徐州市,https://image1.ljcdn.com/newhouse-user-image/8e536be5ba8b5c8b3b0b20937435669c.jpg,86,142,贾汪区,贾汪区,23009394,1100003993,贾汪,8737134095632716,3,建面 86-142㎡,86-142㎡,建面,毛坯,117.38414,34.372165,2/3/4居,恒大潘安湖生态小镇,恒大潘安湖生态小镇,御湖天下誉璟台,潘安湖街道唐庄村新310国道与利大路交叉口西北,潘安湖湿地公园,0,7888,潘安湖街道唐庄村新310国道与利大路交叉口西北,hdpahstxzbilzb,[],[],"[{'bedroom_count': '2', 'area_range': '86㎡'}, {'bedroom_count': '3', 'area_range': '114-126㎡'}]","['品牌房企', '低密居所', '绿化率高']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-06-15,0,1000000,7888,元/平,均价,367天,2018-11-02 18:14:44,2,,2,0,均价7888元/平,3,"[{'id': 'img_4125804', 'image_id': '4125804', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/15fc3ec7-99aa-4040-8d31-62699e1ea9a6.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/15fc3ec7-99aa-4040-8d31-62699e1ea9a6.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/15fc3ec7-99aa-4040-8d31-62699e1ea9a6.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/15fc3ec7-99aa-4040-8d31-62699e1ea9a6.jpg!m_fill,w_1440,l_rorate_logo'}]",7888,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,68,万/套起,7857,元/平起,2018-09-13 17:03:27,,0,0,[],[],243852194339266563,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266563"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""605671""}",,,/loupan/p_hdpahstxzbilzb/,[],,[],
0,,606959,8737134418779261,320300,徐州市,https://image1.ljcdn.com/hdic-resblock/856887ad-074c-424f-b231-4a5f1c41f2c8.jpg,105,150,贾汪区,贾汪区,23009394,1100003993,贾汪,8737134418779261,3,建面 105-150㎡,105-150㎡,建面,毛坯,117.511671,34.448771,1/2居,弘阳凤鸣府,弘阳凤鸣府,山水桃花源,徐州市 贾汪区 4A景区凤鸣海,凤鸣海风景区（鸿福路与凤鸣路交汇处）,0,6500,徐州市 贾汪区 4A景区凤鸣海,hyfmfbinwp,[],[],"[{'bedroom_count': '1', 'area_range': '125㎡'}, {'bedroom_count': '2', 'area_range': '105㎡'}]","['品牌房企', '低密居所', '绿化率高']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-25,0,680000,6500,元/平,均价,367天,2018-11-02 18:14:44,2,,0,0,均价6500元/平,104,"[{'id': 'img_4125809', 'image_id': '4125809', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/856887ad-074c-424f-b231-4a5f1c41f2c8.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/856887ad-074c-424f-b231-4a5f1c41f2c8.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/856887ad-074c-424f-b231-4a5f1c41f2c8.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/856887ad-074c-424f-b231-4a5f1c41f2c8.jpg!m_fill,w_1440,l_rorate_logo'}]",6500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,68,万/套起,6476,元/平起,2018-11-02 18:10:01,,0,0,[],[],243852194339266564,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266564"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""606959""}",,,/loupan/p_hyfmfbinwp/,[],,[],
0,,611271,8737134956799209,320300,徐州市,https://image1.ljcdn.com/newhouse-user-image/5c6707f506a2b87146b30f04ca1032d1.jpg,107,160,铜山区,铜山区,23009403,1100003982,焦山,8737134956799209,3,建面 107-160㎡,107-160㎡,建面,毛坯,117.150397,34.170711,3/4/5居,娇山府,娇山府,新乐府,华山路与凤湖路交汇处向北200米路东,徐州市华山路与凤湖路交汇处向北200米路东,0,11900,华山路与凤湖路交汇处向北200米路东,jsfbiugl,[],[],"[{'bedroom_count': '3', 'area_range': '107-125㎡'}, {'bedroom_count': '4', 'area_range': '125-160㎡'}, {'bedroom_count': '5', 'area_range': '135㎡'}]","['品牌房企', '花园洋房', '低密居所', '车位充足']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '26', 'desc': '花园洋房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-09-30,0,1487500,11900,元/平,均价,367天,2018-11-02 18:14:44,2,,0,0,均价11900元/平,25;44;22,"[{'id': 'img_5640649', 'image_id': '5640649', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/5a6f44345069ea21a00940ce7cac9114.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/5a6f44345069ea21a00940ce7cac9114.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/5a6f44345069ea21a00940ce7cac9114.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/5a6f44345069ea21a00940ce7cac9114.png!m_fill,w_1440,l_rorate_logo'}]",11900,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,123,万/套起,11280,元/平起,2018-10-09 11:05:04,,0,0,[],[],243852194339266565,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266565"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""611271""}",,,/loupan/p_jsfbiugl/,[],,[],
0,,620281,8737136565931075,320300,徐州市,https://image1.ljcdn.com/newhouse-user-image/09c9fba535bddb8d9a8fb148cbecfa61.png,116,144,泉山区,泉山区,23009395,1100003985,火花,8737136565931075,3,建面 116-144㎡,116-144㎡,建面,毛坯,117.142549,34.265146,3居,荣盛城,荣盛城,"荣盛城四期,麓山荣郡,荣盛城-听澜雅居",三环西路与新淮海路西路交汇处,江苏省徐州市泉山区新淮海西路与三环路交汇处,0,9300,三环西路与新淮海路西路交汇处,rsclyjbjhoz,[],[],"[{'bedroom_count': '3', 'area_range': '120.38-144.74㎡'}]","['品牌房企', '公交直达', '绿化率高', '大型社区']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-06-18,0,1480000,9300,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价9300元/平,30,"[{'id': 'img_4739919', 'image_id': '4739919', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/09c9fba535bddb8d9a8fb148cbecfa61.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/09c9fba535bddb8d9a8fb148cbecfa61.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/09c9fba535bddb8d9a8fb148cbecfa61.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/09c9fba535bddb8d9a8fb148cbecfa61.png!m_fill,w_1440,l_rorate_logo'}]",9300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,106,万/套起,9119,元/平起,2018-12-02 12:08:11,,0,0,[],[],243852194339266566,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266566"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""620281""}",,,/loupan/p_rsclyjbjhoz/,[],,[],
0,,66954,8737130685286977,320300,徐州市,https://image1.ljcdn.com/newhouse-user-image/2a9ea76ca04adb4fcff56a40d7886f6e.jpg,115,142,贾汪区,贾汪区,23009394,1100003993,贾汪,8737130685286977,3,建面 115-142㎡,115-142㎡,建面,毛坯,117.467457,34.426472,2/3/4居,东部美的城,东部美的城, 东部美的城,贾汪大泉路9号,贾汪大泉路9号（大泉路与煤源路交汇处向南100米）,6000,6500,贾汪大泉路9号,dbmdcadvbe,[],[],"[{'bedroom_count': '2', 'area_range': '115㎡'}, {'bedroom_count': '3', 'area_range': '119㎡'}, {'bedroom_count': '4', 'area_range': '128-142㎡'}]","['低密居所', '即将交房', '购物方便', '娱乐丰富']","[{'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '20', 'desc': '即将交房', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-01-26,0,770000,6500,元/平,均价,367天,2018-11-02 18:14:44,2,,0,0,均价6500元/平,101,"[{'id': 'img_5418285', 'image_id': '5418285', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/c4f4b3e2af04c80344906ccafd5d0d03.jpg', 'title': '', 'desc': '美的城一期', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/c4f4b3e2af04c80344906ccafd5d0d03.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/c4f4b3e2af04c80344906ccafd5d0d03.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/c4f4b3e2af04c80344906ccafd5d0d03.jpg!m_fill,w_1440,l_rorate_logo'}]",6500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,76,万/套起,6478,元/平起,2018-05-05 23:13:18,,0,0,[],[],243852194339266567,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266567"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""66954""}",,,/loupan/p_dbmdcadvbe/,[],,[],
0,,66956,8737130707307749,320300,徐州市,https://image1.ljcdn.com/newhouse-user-image/7f01114266031886d00d1415ffa98b52.jpg,95,135,泉山区,泉山区,23009395,1100003975,翟山,8737130707307749,3,建面 95-135㎡,95-135㎡,建面,毛坯,117.222267,34.210487,3/4居,华润置地崑崙御,华润置地崑崙御,"华润置地崐崘御,华润崑崙御,昆仑嘉苑",欣欣路以北，工程学院以南,欣欣路以北，工程学院以南,0,14500,欣欣路以北，工程学院以南,hrzdklyadvbg,[],[],"[{'bedroom_count': '3', 'area_range': '95-115㎡'}, {'bedroom_count': '4', 'area_range': '135㎡'}]","['品牌房企', '大型社区', '娱乐丰富', '综合商场']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}, {'id': '54', 'desc': '综合商场', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-08-27,0,1670000,14500,元/平,均价,367天,2018-11-02 18:14:44,2,,0,0,均价14500元/平,11,"[{'id': 'img_5198020', 'image_id': '5198020', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/89161bbaa5f72dab74b641af656e1330.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/89161bbaa5f72dab74b641af656e1330.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/89161bbaa5f72dab74b641af656e1330.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/89161bbaa5f72dab74b641af656e1330.jpg!m_fill,w_1440,l_rorate_logo'}]",14500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,123,万/套起,12947,元/平起,2018-05-05 23:11:13,,0,0,[],[],243852194339266568,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266568"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""66956""}",,,/loupan/p_hrzdklyadvbg/,[],,[],
0,,73189,8737130889906149,320300,徐州市,https://image1.ljcdn.com/newhouse-user-image/ea13388545ae849da266e68aefc36959.jpg,95,140,泉山区,泉山区,23009395,1100003985,火花,8737130889906149,3,建面 95-140㎡,95-140㎡,建面,精装修,117.117687,34.269843,3/4居,美的·公园天下,美的·公园天下,"美的公园天下,美润园",泉山区新淮海路,泉山区徐商公路雨润邻里中心南100米,8500,9600,泉山区新淮海路,mdgytxaeegz,[],[],"[{'bedroom_count': '3', 'area_range': '95-120㎡'}, {'bedroom_count': '4', 'area_range': '130-140㎡'}]","['品牌房企', '现房', '大型社区']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-02-21,0,1150000,9600,元/平,均价,367天,2018-11-02 18:14:44,2,,0,0,均价9600元/平,36,"[{'id': 'img_5627198', 'image_id': '5627198', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/ea13388545ae849da266e68aefc36959.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/ea13388545ae849da266e68aefc36959.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/ea13388545ae849da266e68aefc36959.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/ea13388545ae849da266e68aefc36959.jpg!m_fill,w_1440,l_rorate_logo'}]",9600,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,91,万/套起,9043,元/平起,2018-05-05 23:06:55,,0,0,[],[],243852194339266569,"{""fb_query_id"":""243852194213437440"",""fb_expo_id"":""243852194339266569"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""73189""}",,,/loupan/p_mdgytxaeegz/,[],,[],
