item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details,recommend_reason
0,,600225,8906132549576155,450300,桂林市,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,61,119,临桂区,临桂区,23010317,1100002568,临桂区,8906132549576155,3,建面 61-119㎡,61-119㎡,建面,毛坯,110.19418715177,25.264790090987,1/2/3居,滨江云尚,滨江云尚,滨江8号公馆二期,机场路与滨水路交叉口东南侧,桂林临桂新区机场路与滨水路交叉口东南侧,5800,6200,机场路与滨水路交叉口东南侧,bjggbidxp,[],[],"[{'bedroom_count': '1', 'area_range': '61㎡'}, {'bedroom_count': '2', 'area_range': '80.34㎡'}, {'bedroom_count': '3', 'area_range': '113.57-119.4㎡'}]","['小户型', '小型社区', '成熟商圈', '购物方便']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-18,0,400000,6200,元/平,均价,,0000-00-00 00:00:00,2,,2,0,均价6200元/平,101,"[{'id': 'img_4163624', 'image_id': '4163624', 'type_id': '101900000003', 'type_name': '项目现场', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/573aa781-695d-4011-97c0-54308696482a.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/573aa781-695d-4011-97c0-54308696482a.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/573aa781-695d-4011-97c0-54308696482a.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/573aa781-695d-4011-97c0-54308696482a.jpg!m_fill,w_1440,l_rorate_logo'}]",6200,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,39.7,万/套起,5547,元/平起,2018-08-03 16:15:58,刚需低首付，交通便利,0,0,[],[],243850639032008704,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008704"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600225""}",,/loupan/p_bjggbidxp/,[],,[],,4,楼盘亮点,刚需低首付，交通便利,
0,,600228,8906132577885753,450300,桂林市,https://image1.ljcdn.com/hdic-resblock/73b8cc76-c67b-47eb-a02d-26489b6f2123.jpg,67,121,临桂区,临桂区,23010317,1100002568,临桂区,8906132577885753,3,建面 67-121㎡,67-121㎡,建面,毛坯,110.17542146866,25.261336756731,2/3/4居,汇荣•桂林桂林,汇荣•桂林桂林,,临桂大道与环西路交汇处,桂林市临桂新区临桂大道与西环路交汇处,6900,6200,临桂大道与环西路交汇处,hrglgldqbidxs,[],[],"[{'bedroom_count': '2', 'area_range': '67-71.34㎡'}, {'bedroom_count': '3', 'area_range': '84-107.91㎡'}, {'bedroom_count': '4', 'area_range': '119-121.47㎡'}]","['小户型', '绿化率高', '人车分流', '购物方便']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-08-01,0,0,6200,元/平,均价,,0000-00-00 00:00:00,2,,2,0,均价6200元/平,101,"[{'id': 'img_5103398', 'image_id': '5103398', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/eb22246d7329c7c62eda7344baec4300.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/eb22246d7329c7c62eda7344baec4300.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/eb22246d7329c7c62eda7344baec4300.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/eb22246d7329c7c62eda7344baec4300.jpg!m_fill,w_1440,l_rorate_logo'}]",6200,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-07-23 18:36:51,,0,0,[],[],243850639032008705,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008705"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600228""}",,/loupan/p_hrglgldqbidxs/,[],,[],,,,,
0,,600232,8906132551677739,450300,桂林市,https://image1.ljcdn.com/hdic-resblock/75d6645f-0f1b-41b9-8742-7024259365e1.jpg,86,136,临桂区,临桂区,23010317,1100002568,临桂区,8906132551677739,3,建面 86-136㎡,86-136㎡,建面,毛坯,110.21719474677,25.261835316768,3/4/5居,众阳•华城,众阳•华城,,机场大道南侧，原鲁山水泥厂所在处,临桂区机场大道南侧，原鲁山水泥厂所在处,5600,5600,机场大道南侧，原鲁山水泥厂所在处,zycbidxw,[],[],"[{'bedroom_count': '3', 'area_range': '86.49-91.06㎡'}, {'bedroom_count': '4', 'area_range': '99.22-120.63㎡'}, {'bedroom_count': '5', 'area_range': '128.08-136.94㎡'}]","['现房', '绿化率高', '购物方便', '娱乐丰富']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-99,0,520000,5600,元/平,均价,468天,2018-07-24 16:06:32,2,,2,0,均价5600元/平,101,"[{'id': 'img_4163671', 'image_id': '4163671', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/6b9db550-a099-4d71-8fd8-44d6304f42bb.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/6b9db550-a099-4d71-8fd8-44d6304f42bb.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/6b9db550-a099-4d71-8fd8-44d6304f42bb.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/6b9db550-a099-4d71-8fd8-44d6304f42bb.jpg!m_fill,w_1440,l_rorate_logo'}]",5600,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,51,万/套起,5522,元/平起,2018-07-26 18:11:43,绿化高、配套成熟、舒适度升级,0,0,[],[],243850639032008706,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008706"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600232""}",,/loupan/p_zycbidxw/,[],,[],,4,楼盘亮点,绿化高、配套成熟、舒适度升级,
0,,600235,8906132541195578,450300,桂林市,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,103,141,七星区,七星区,23010307,1100002558,七星区,8906132541195578,3,建面 103-141㎡,103-141㎡,建面,毛坯,110.332575682,25.246666752901,3/4居,信昌•棠棣之华,信昌•棠棣之华,信昌棠棣之华,城南一路9号,桂林市七星区环城南一路9号,9500,9500,城南一路9号,xctdzhbidxz,[],[],"[{'bedroom_count': '3', 'area_range': '116.34-119.35㎡'}, {'bedroom_count': '4', 'area_range': '130.59-141.86㎡'}]","['公交直达', '现房', '人车分流', '成熟商圈']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-09-99,0,1300000,9500,元/平,均价,,0000-00-00 00:00:00,2,,2,0,均价9500元/平,101,"[{'id': 'img_5653674', 'image_id': '5653674', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/e973b10ec73abdc162614d5497d3e782.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/e973b10ec73abdc162614d5497d3e782.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/e973b10ec73abdc162614d5497d3e782.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/e973b10ec73abdc162614d5497d3e782.png!m_fill,w_1440,l_rorate_logo'}]",9500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,130,万/套起,10892,元/平起,2018-07-26 18:12:16,万达旁，成熟配套优质社区,0,0,[],[],243850639032008707,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008707"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600235""}",,/loupan/p_xctdzhbidxz/,[],,[],,4,楼盘亮点,万达旁，成熟配套优质社区,
0,,600238,8906132802294535,450300,桂林市,https://image1.ljcdn.com/hdic-resblock/85859e85-f71a-4128-94c3-1bb42b3c92a9.jpg,98,136,临桂区,临桂区,23010317,1100002568,临桂区,8906132802294535,3,建面 98-136㎡,98-136㎡,建面,精装修,110.168133,25.260545,2/3/4居,彰泰红,彰泰红,,临桂大道与三元路交汇处,桂林市临桂新区三元路与杉景路交汇处,6050,6800,临桂大道与三元路交汇处,zthbidyc,[],[],"[{'bedroom_count': '2', 'area_range': '98㎡'}, {'bedroom_count': '3', 'area_range': '116-125㎡'}, {'bedroom_count': '4', 'area_range': '136.52㎡'}]","['贴心物业', '花园洋房', '开发区', '购物方便']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '26', 'desc': '花园洋房', 'color': ''}, {'id': '44', 'desc': '开发区', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-09-01,0,610000,6800,元/平,均价,223天,2019-03-26 13:55:08,2,,2,0,均价6800元/平,101,"[{'id': 'img_4164564', 'image_id': '4164564', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/85859e85-f71a-4128-94c3-1bb42b3c92a9.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/85859e85-f71a-4128-94c3-1bb42b3c92a9.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/85859e85-f71a-4128-94c3-1bb42b3c92a9.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/85859e85-f71a-4128-94c3-1bb42b3c92a9.jpg!m_fill,w_1440,l_rorate_logo'}]",6800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,60,万/套起,6079,元/平起,2018-07-26 18:07:12,一院两馆旁，低密宜居社区,0,0,[],[],243850639032008708,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008708"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600238""}",,/loupan/p_zthbidyc/,[],,[],买车位即可享受9.5折优惠！,4,楼盘亮点,一院两馆旁，低密宜居社区,
0,,600288,8906132577889274,450300,桂林市,https://image1.ljcdn.com/hdic-resblock/e0e9e071-e6e1-43bc-8fd1-8907e891fc85.jpg,84,126,临桂区,临桂区,23010317,1100002568,临桂区,8906132577889274,3,建面 84-126㎡,84-126㎡,建面,毛坯,110.18046128801,25.22554039341,3/4居,花样年•麓湖国际,花样年•麓湖国际,花样年•麓湖国际社区,临桂区西城大道南（新市政府往南500米）,桂林市西城大道与万福路交汇处,6300,6300,临桂区西城大道南（新市政府往南500米）,lhgjbieaa,[],[],"[{'bedroom_count': '3', 'area_range': '84.4-99.95㎡'}, {'bedroom_count': '4', 'area_range': '115.42-124.39㎡'}]","['人车分流', '大型社区', '购物方便', '综合商场']","[{'id': '52', 'desc': '人车分流', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '54', 'desc': '综合商场', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-03-23,0,500000,6300,元/平,均价,460天,2018-08-01 16:29:11,2,,0,0,均价6300元/平,101,"[{'id': 'img_4164237', 'image_id': '4164237', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/395644cd-5205-4945-bc51-c5d8399f4392.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/395644cd-5205-4945-bc51-c5d8399f4392.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/395644cd-5205-4945-bc51-c5d8399f4392.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/395644cd-5205-4945-bc51-c5d8399f4392.jpg!m_fill,w_1440,l_rorate_logo'}]",6300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2019-10-22 19:36:15,环境清幽，尽享千亩湖景风光,0,0,[],[],243850639032008709,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008709"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600288""}",,/loupan/p_lhgjbieaa/,[],,[],,4,楼盘亮点,环境清幽，尽享千亩湖景风光,
0,,600308,8906132563211349,450300,桂林市,https://image1.ljcdn.com/hdic-resblock/2ab764da-6588-451b-8767-ed0e4a85cf16.jpg,89,181,临桂区,临桂区,23010317,1100002568,临桂区,8906132563211349,3,建面 89-181㎡,89-181㎡,建面,毛坯,110.192097,25.257053,2/3/4/5居,金源新城福邸嘉园,金源新城福邸嘉园,金源•新城福邸嘉園,世纪大道中段北侧,临桂区世纪大道中段（85路公车站旁）,6600,6900,世纪大道中段北侧,jyxcfdjybieau,[],[],"[{'bedroom_count': '2', 'area_range': '89.41㎡'}, {'bedroom_count': '3', 'area_range': '124.51-138㎡'}, {'bedroom_count': '4', 'area_range': '117.05-148.59㎡'}, {'bedroom_count': '5', 'area_range': '181.04㎡'}]","['现房', '绿化率高', '购物方便', '娱乐丰富']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-99,0,0,6900,元/平,均价,410天,2018-09-20 17:14:12,2,,2,0,均价6900元/平,101,"[{'id': 'img_4171205', 'image_id': '4171205', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-4644078a-523e-4157-92b0-c56041a6fe51phpb6jAsU', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-4644078a-523e-4157-92b0-c56041a6fe51phpb6jAsU!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-4644078a-523e-4157-92b0-c56041a6fe51phpb6jAsU!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-4644078a-523e-4157-92b0-c56041a6fe51phpb6jAsU!m_fill,w_1440,l_rorate_logo'}]",6900,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-07-26 17:20:31,,0,0,[],[],243850639032008710,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008710"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600308""}",,/loupan/p_jyxcfdjybieau/,[],,[],,,,,
0,,600311,8906132566357121,450300,桂林市,https://image1.ljcdn.com/hdic-resblock/b4cb19b9-957a-4c83-ae13-84bd5abae703.jpg,109,136,临桂区,临桂区,23010317,1100002568,临桂区,8906132566357121,3,建面 109-136㎡,109-136㎡,建面,毛坯,110.188147,25.267331,3/4居,碧园•印象桂林,碧园•印象桂林,碧园印象桂林,西城北路与机场路交汇处（邻近机场路）,临桂新区西城北路与机场路交汇处东南侧,6000,5700,西城北路与机场路交汇处（邻近机场路）,byxglbieax,[],[],"[{'bedroom_count': '3', 'area_range': '110-127.2㎡'}, {'bedroom_count': '4', 'area_range': '119-136.6㎡'}]","['即将交房', '绿化率高', '成熟商圈']","[{'id': '20', 'desc': '即将交房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-12-31,0,650000,5700,元/平,均价,223天,2019-03-26 15:11:21,2,,0,0,均价5700元/平,101,"[{'id': 'img_4163920', 'image_id': '4163920', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/ccb4cd5c-0130-4326-958f-48db73fbbef6.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/ccb4cd5c-0130-4326-958f-48db73fbbef6.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/ccb4cd5c-0130-4326-958f-48db73fbbef6.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/ccb4cd5c-0130-4326-958f-48db73fbbef6.jpg!m_fill,w_1440,l_rorate_logo'}]",5700,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,79,万/套起,5783,元/平起,2018-07-26 18:17:07,配套成熟、高绿化景观居所,0,0,[],[],243850639032008711,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008711"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600311""}",,/loupan/p_byxglbieax/,[],,[],,4,楼盘亮点,配套成熟、高绿化景观居所,
0,,600323,8906132576835975,450300,桂林市,https://image1.ljcdn.com/hdic-resblock/47bc2ef5-f2e5-4541-9daf-205e18d4f165.jpg,75,135,象山区,象山区,23010308,1100002559,象山区,8906132576835975,3,建面 75-135㎡,75-135㎡,建面,精装修,110.29012720815,25.236251181733,2/3/4居,象山博望园,象山博望园,,象山区环城南三路19号,桂林市象山区环城南三路19号,9000,9000,象山区环城南三路19号,xsbwybiebj,[],[],"[{'bedroom_count': '2', 'area_range': '75㎡'}, {'bedroom_count': '3', 'area_range': '80-135㎡'}, {'bedroom_count': '4', 'area_range': '115㎡'}]","['小户型', '现房', '低密居所', '购物方便']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-06-13,0,700000,9000,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价9000元/平,101,"[{'id': 'img_4164147', 'image_id': '4164147', 'type_id': '102000000003', 'type_name': '样板间', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/179191fa-5fba-4bfc-90ae-a7cb0f1f2c17.JPG', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/179191fa-5fba-4bfc-90ae-a7cb0f1f2c17.JPG!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/179191fa-5fba-4bfc-90ae-a7cb0f1f2c17.JPG!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/179191fa-5fba-4bfc-90ae-a7cb0f1f2c17.JPG!m_fill,w_1440,l_rorate_logo'}]",9000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,70,万/套起,8962,元/平起,2018-07-26 18:01:33,准现房、带装修,0,0,[],[],243850639032008712,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008712"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600323""}",,/loupan/p_xsbwybiebj/,[],,[],,4,楼盘亮点,准现房、带装修,
0,,600368,8906132565310155,450300,桂林市,https://image1.ljcdn.com/hdic-resblock/08fe6cc9-7216-473d-a34e-c45c0234d2ff.jpg,88,122,象山区,象山区,23010308,1100002559,象山区,8906132565310155,3,建面 88-122㎡,88-122㎡,建面,毛坯,110.29385893673,25.201217940104,3/4/5居,龙光•普罗旺斯,龙光•普罗旺斯,龙光普罗旺斯,凯风路7号（凯风路与茶店路交汇处）,桂林市象山区凯风路7号,6500,6600,凯风路7号（凯风路与茶店路交汇处）,lglwsbiedc,[],[],"[{'bedroom_count': '3', 'area_range': '88.72-108.75㎡'}, {'bedroom_count': '4', 'area_range': '111.7-118.55㎡'}, {'bedroom_count': '5', 'area_range': '122.06㎡'}]","['品牌房企', '现房', '低密居所']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-11-99,0,0,6600,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价6600元/平,41,"[{'id': 'img_4163839', 'image_id': '4163839', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b84db507-25f2-40a4-8c0f-359dba9b2cb6.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b84db507-25f2-40a4-8c0f-359dba9b2cb6.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b84db507-25f2-40a4-8c0f-359dba9b2cb6.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b84db507-25f2-40a4-8c0f-359dba9b2cb6.jpg!m_fill,w_1440,l_rorate_logo'}]",6600,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,59,万/套起,6554,元/平起,2019-05-27 14:41:53,品牌房产，现代欧式风格,0,0,[],[],243850639032008713,"{""fb_query_id"":""243850638839070720"",""fb_expo_id"":""243850639032008713"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""600368""}",,/loupan/p_lglwsbiedc/,[],,[],,4,楼盘亮点,品牌房产，现代欧式风格,
