item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details
0,,100032,5220031555928610,370600,烟台市,https://image1.ljcdn.com/hdic-resblock/2e1f9a1b-5749-4092-9bf5-ab34caf287e9.jpg,104,117,牟平,牟平,23008858,611100812,牟平,5220031555928610,3,建面 104-117㎡,104-117㎡,建面,毛坯,121.600814,37.377895,3/4居,南城桃源,南城桃源,丰禾南城桃源,雷神庙大街与华南路交汇处,通海路与雷神庙大街交汇处西200米,5800,6200,雷神庙大街与华南路交汇处,nctyafrzk,[],[],"[{'bedroom_count': '3', 'area_range': '104-116㎡'}, {'bedroom_count': '4', 'area_range': '117㎡'}]","['贴心物业', '养老房', '近主干道', '低密居所']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '31', 'desc': '养老房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-07-99,0,600000,6200,元/平,均价,6天,2019-10-29 10:04:03,2,,0,0,均价6200元/平,101,"[{'id': 'img_3933282', 'image_id': '3933282', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/2e1f9a1b-5749-4092-9bf5-ab34caf287e9.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/2e1f9a1b-5749-4092-9bf5-ab34caf287e9.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/2e1f9a1b-5749-4092-9bf5-ab34caf287e9.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/2e1f9a1b-5749-4092-9bf5-ab34caf287e9.jpg!m_fill,w_1440,l_rorate_logo'}]",6200,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,60,万/套起,5726,元/平起,2018-05-31 09:28:58,神庙大街尾盘清盘,0,0,[],[],243852262806466560,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466560"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100032""}",,/loupan/p_nctyafrzk/,[],,[],,4,楼盘亮点,神庙大街尾盘清盘
0,,100181,5220026029498139,370600,烟台市,https://image1.ljcdn.com/hdic-resblock/60d0cddd-ae72-45ad-ad2e-ac3f8ea6f422.jpg,0,0,开发区,开发区,23009087,1100000972,福莱山公园,5220026029498139,3,,,建面,毛坯,121.244277,37.569025,,中海城市广场,中海城市广场,,长江路210号,开发区长江路210号（长江路与天山路交汇处）,0,8500,长江路210号,zhcsgcafsfd,[],[],[],"['自持商业', '公交直达', '开发区', '美食云集']","[{'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '44', 'desc': '开发区', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",写字楼,107500000006,在售,0,0,0,0,2018-09-26,0,880000,8500,元/平,均价,35天,2019-09-30 09:20:22,2,,0,0,均价8500元/平,101,"[{'id': 'img_3928182', 'image_id': '3928182', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/60d0cddd-ae72-45ad-ad2e-ac3f8ea6f422.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/60d0cddd-ae72-45ad-ad2e-ac3f8ea6f422.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/60d0cddd-ae72-45ad-ad2e-ac3f8ea6f422.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/60d0cddd-ae72-45ad-ad2e-ac3f8ea6f422.jpg!m_fill,w_1440,l_rorate_logo'}]",8500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,59A5EB,0,万/套起,0,元/平起,2018-06-14 14:50:21,品牌房企22层写字楼,0,0,[],[],243852262806466561,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466561"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100181""}",,/loupan/p_zhcsgcafsfd/,[],,[],,4,楼盘亮点,品牌房企22层写字楼
0,,100557,5220032146509865,370600,烟台市,https://image1.ljcdn.com/newhouse-user-image/4ed9e62b613bdab56e7ed062fa1a5753.jpeg,60,113,龙口,龙口,23008860,1100005878,东海旅游度假区,5220032146509865,3,建面 60-113㎡,60-113㎡,建面,精装修,120.407187,37.715449,1/2/3居,融创果岭海岸,融创果岭海岸,果岭海岸,龙口市东海黄金海岸沿海路,东海旅游度假区景观桥西侧,8500,10000,龙口市东海黄金海岸沿海路,glhaafstp,[],[],"[{'bedroom_count': '1', 'area_range': '60-73㎡'}, {'bedroom_count': '2', 'area_range': '73-111㎡'}, {'bedroom_count': '3', 'area_range': '113㎡'}]","['品牌房企', '小户型', '现房', '绿化率高']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-08-18,0,670000,10000,元/平,均价,74天,2019-08-22 14:36:49,2,,0,0,均价10000元/平,7,"[{'id': 'img_5332620', 'image_id': '5332620', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/4ed9e62b613bdab56e7ed062fa1a5753.jpeg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/4ed9e62b613bdab56e7ed062fa1a5753.jpeg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/4ed9e62b613bdab56e7ed062fa1a5753.jpeg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/4ed9e62b613bdab56e7ed062fa1a5753.jpeg!m_fill,w_1440,l_rorate_logo'}]",10000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,60,万/套起,8904,元/平起,2019-06-24 17:21:00,龙口滨海海岸旅游地产,0,0,[],[],243852262806466562,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466562"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100557""}",,/loupan/p_glhaafstp/,[],,[],全款9.7折贷款9.9折 ,4,楼盘亮点,龙口滨海海岸旅游地产
0,,100803,527668979217148,370600,烟台市,https://image1.ljcdn.com/hdic-resblock/ff373188-e294-4631-b220-85c450ce7295.jpg,72,274,莱山,莱山,23008859,1100000936,山海南路,527668979217148,1,建面 72-274㎡,72-274㎡,建面,精装修,121.429618,37.474658,2/3/4/5居,碧桂园凤凰山庄,碧桂园凤凰山庄,凤凰山庄,港城东大街109号,港城东大街109号,0,16500,港城东大街109号,fhszaftdb,[],[],"[{'bedroom_count': '2', 'area_range': '72-74㎡'}, {'bedroom_count': '3', 'area_range': '140㎡'}, {'bedroom_count': '4', 'area_range': '182㎡'}, {'bedroom_count': '5', 'area_range': '274㎡'}]","['品牌房企', '小户型', '公交直达', '近主干道']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2019-06-29,0,2240000,16500,元/平,均价,41天,2019-09-24 14:41:20,2,,0,0,均价16500元/平,1,"[{'id': 'img_3284076', 'image_id': '3284076', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/ec65878a-7043-4904-be64-32b1b0c1b089.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/ec65878a-7043-4904-be64-32b1b0c1b089.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/ec65878a-7043-4904-be64-32b1b0c1b089.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/ec65878a-7043-4904-be64-32b1b0c1b089.jpg!m_fill,w_1440,l_rorate_logo'}]",16500,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,118,万/套起,15000,元/平起,2018-09-25 16:42:49,72-260㎡的带装修品牌房企,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243852262806466563,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466563"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100803""}",,/loupan/p_fhszaftdb/,[],,[],,4,楼盘亮点,72-260㎡的带装修品牌房企
0,,100889,5220032437292004,370600,烟台市,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,105,184,莱山,莱山,23008859,1100000936,山海南路,5220032437292004,3,建面 105-184㎡,105-184㎡,建面,毛坯,121.4245,37.470445,3/4居,滨湖万丽,滨湖万丽,璞丽台,港城东大街与凤凰西路交汇处西南侧,港城大街与凤凰西路交汇处南200米路东,0,15300,港城东大街与凤凰西路交汇处西南侧,bhwlaftgj,[],[],"[{'bedroom_count': '3', 'area_range': '125-148㎡'}, {'bedroom_count': '4', 'area_range': '153-184㎡'}]","['贴心物业', '养老房', '近主干道', '低密居所']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '31', 'desc': '养老房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-14,0,1600000,15300,元/平,均价,41天,2019-09-24 14:41:20,2,,2,0,均价15300元/平,101,"[{'id': 'img_5081561', 'image_id': '5081561', 'type_id': '102000000003', 'type_name': '样板间', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/35473e629fcef9ee9796d69955322643.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/35473e629fcef9ee9796d69955322643.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/35473e629fcef9ee9796d69955322643.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/35473e629fcef9ee9796d69955322643.jpg!m_fill,w_1440,l_rorate_logo'}]",15300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,175,万/套起,14000,元/平起,2018-09-06 08:51:26,凤凰湖旁带幼儿园的洋房住宅,1,0,"[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]","[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]",243852262806466564,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466564"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100889""}",,/loupan/p_bhwlaftgj/,[],,[],小高层9.9折加9.82折,4,楼盘亮点,凤凰湖旁带幼儿园的洋房住宅
0,,100955,5220031423800983,370600,烟台市,https://image1.ljcdn.com/hdic-resblock/7c510e83-ba34-49c0-b764-71f4dc5d5c63.jpg,75,125,福山,福山,23008857,611100813,万科,5220031423800983,3,建面 75-125㎡,75-125㎡,建面,精装修,121.238105,37.537129,2/3/4居,中梁首府壹号,中梁首府壹号,金玉府小区,奇泉路与连福街交汇处西100米,奇泉路与连福街交汇处西100米,0,10500,奇泉路与连福街交汇处西100米,zlsfyhaftix,[],[],"[{'bedroom_count': '3', 'area_range': '110㎡'}]","['品牌房企', '绿化率高', '成熟商圈']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-14,0,1110000,10500,元/平,均价,35天,2019-09-30 09:20:22,2,,0,0,均价10500元/平,26,"[{'id': 'img_4948911', 'image_id': '4948911', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/f9d1acfc214376b78f426b1a9135d5c2.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/f9d1acfc214376b78f426b1a9135d5c2.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/f9d1acfc214376b78f426b1a9135d5c2.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/f9d1acfc214376b78f426b1a9135d5c2.png!m_fill,w_1440,l_rorate_logo'}]",10500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,110,万/套起,10000,元/平起,2018-07-10 14:27:42,小高层带装修多层毛坯,0,0,[],[],243852262806466565,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466565"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100955""}",,/loupan/p_zlsfyhaftix/,[],,[],交五万抵六万,4,楼盘亮点,小高层带装修多层毛坯
0,,101002,5212042828525182,370600,烟台市,https://image1.ljcdn.com/hdic-resblock/a488c737-4ab6-4f43-9731-157d79202156.jpg,54,60,芝罘,芝罘,23008856,1100000931,魁玉路,5212042828525182,3,建面 54-60㎡,54-60㎡,建面,毛坯,121.332652,37.479226,2/3居,魔卡LOFT,魔卡LOFT,烟台毅德城,港城西大街与魁玉南路交汇处北200米,港城西大街35号（港城西大街与魁玉南路交汇处）,0,10000,港城西大街与魁玉南路交汇处北200米,ytydcaftks,[],[],"[{'bedroom_count': '2', 'area_range': '57.23-60.92㎡'}]","['小户型', '贴心物业', '公交直达', '近主干道']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2019-08-03,0,570000,10000,元/平,均价,41天,2019-09-24 09:09:11,2,,0,0,均价10000元/平,101,"[{'id': 'img_3908320', 'image_id': '3908320', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/7df02536-5a9c-4d26-9e85-bff2c5abebb3.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/7df02536-5a9c-4d26-9e85-bff2c5abebb3.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/7df02536-5a9c-4d26-9e85-bff2c5abebb3.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/7df02536-5a9c-4d26-9e85-bff2c5abebb3.jpg!m_fill,w_1440,l_rorate_logo'}]",10000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,54,万/套起,9959,元/平起,2018-11-06 14:17:33,魔卡loft复式小公寓,0,0,[],[],243852262806466566,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466566"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""101002""}",,/loupan/p_ytydcaftks/,[],,[],在售房源交2万优惠3万，全款9.6折，贷款可享受1万元购房补贴。,4,楼盘亮点,魔卡loft复式小公寓
0,,12408,5212062371360618,370600,烟台市,https://image1.ljcdn.com/hdic-resblock/c968a6f4-b33d-47f6-b38a-63b5cc973d26.jpg,240,337,莱山,莱山,23008859,1100001030,莱山周边,5212062371360618,3,建面 240-337㎡,240-337㎡,建面,毛坯,121.393817,37.396784,4/5居,源山郡,源山郡,源山墅,烟台市莱山区莱源路民德街6号源山郡（莱山区区委党校对面）,烟台市莱山区莱源路民德街6号源山郡（莱山区区委党校对面）,0,11000,烟台市莱山区莱源路民德街6号源山郡（莱山区区委党校对面）,ysjaasjg,[],[],"[{'bedroom_count': '4', 'area_range': '240-312㎡'}, {'bedroom_count': '5', 'area_range': '337㎡'}]","['复式', '避暑', '临近高速', '现房']","[{'id': '16', 'desc': '复式', 'color': ''}, {'id': '34', 'desc': '避暑', 'color': ''}, {'id': '46', 'desc': '临近高速', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2019-01-03,0,4770000,477,万/套,总价,41天,2019-09-24 14:41:20,2,,2,0,总价477万/套,101,"[{'id': 'img_3915091', 'image_id': '3915091', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/c968a6f4-b33d-47f6-b38a-63b5cc973d26.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/c968a6f4-b33d-47f6-b38a-63b5cc973d26.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/c968a6f4-b33d-47f6-b38a-63b5cc973d26.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/c968a6f4-b33d-47f6-b38a-63b5cc973d26.jpg!m_fill,w_1440,l_rorate_logo'}]",11000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,457,万/套起,17210,元/平起,2017-02-14 12:34:54,莱山联排、双拼、叠拼的现房别墅,0,0,[],[],243852262806466567,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466567"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""12408""}",,/loupan/p_ysjaasjg/,[],,[],参与活动，总房款优惠10万,4,楼盘亮点,莱山联排、双拼、叠拼的现房别墅
0,,12410,5212035715248205,370600,烟台市,https://image1.ljcdn.com/hdic-resblock/08e7b464-c475-4ea4-b938-aa298504d1a5.jpg,95,145,莱山,莱山,23008859,1100000935,南塂,5212035715248205,1,建面 95-145㎡,95-145㎡,建面,毛坯,121.40624,37.45589,3居,万光山海城,万光山海城,山海城,轸大路与山海南路交汇处南200米,轸大路与山海南路交汇处南200米,0,0,轸大路与山海南路交汇处南200米,wgshcaasji,[],[],"[{'bedroom_count': '3', 'area_range': '95-145㎡'}]","['贴心物业', '养老房', '近主干道', '临近高速']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '31', 'desc': '养老房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '46', 'desc': '临近高速', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2017-09-20,0,0,0,元/平,均价,41天,2019-09-24 14:41:35,2,,0,0,价格待定,101,"[{'id': 'img_3904242', 'image_id': '3904242', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/08e7b464-c475-4ea4-b938-aa298504d1a5.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/08e7b464-c475-4ea4-b938-aa298504d1a5.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/08e7b464-c475-4ea4-b938-aa298504d1a5.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/08e7b464-c475-4ea4-b938-aa298504d1a5.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,0,万/套起,0,元/平起,2017-06-01 11:05:59,四期94-145㎡三居产品,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243852262806466568,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466568"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""12410""}",,/loupan/p_wgshcaasji/,[],,[],,4,楼盘亮点,四期94-145㎡三居产品
0,,12418,5212025478261935,370600,烟台市,https://image1.ljcdn.com/newhouse-user-image/be4cd0f31a8df64e333cb6f570d7ad90.jpg,80,256,莱山,莱山,23008859,1100000936,山海南路,5212025478261935,3,建面 80-256㎡,80-256㎡,建面,毛坯,121.416571,37.492842,2/3/4居,天籁中园,天籁中园,山海花园,山海路98号,山海路98号（塔山隧道南1000米路东）,0,19000,山海路98号,tlzyaasjq,[],[],"[{'bedroom_count': '3', 'area_range': '166-194㎡'}, {'bedroom_count': '4', 'area_range': '256㎡'}]","['复式', '贴心物业', '近主干道', '现房']","[{'id': '16', 'desc': '复式', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-13,0,3380000,19000,元/平,均价,41天,2019-09-24 14:41:35,2,,0,0,均价19000元/平,101,"[{'id': 'img_3903324', 'image_id': '3903324', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/1d64a97e-0d95-4e65-919a-9f0613bd704d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/1d64a97e-0d95-4e65-919a-9f0613bd704d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/1d64a97e-0d95-4e65-919a-9f0613bd704d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/1d64a97e-0d95-4e65-919a-9f0613bd704d.jpg!m_fill,w_1440,l_rorate_logo'}]",19000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,315,万/套起,18950,元/平起,2017-02-05 09:41:03,三面环山的花园洋房,0,0,[],[],243852262806466569,"{""fb_query_id"":""243852262609334272"",""fb_expo_id"":""243852262806466569"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""12418""}",,/loupan/p_tlzyaasjq/,[],,[],,4,楼盘亮点,三面环山的花园洋房
