item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details
0,,101041,8716125341577314,532800,西双版纳傣族自治州,https://image1.ljcdn.com/newhouse-user-image/21e80c015ead0506a85a4eddf79facba.jpg,60,177,景洪市,景洪市,23011840,1100006033,中心城区,8716125341577314,3,建面 60-177㎡,60-177㎡,建面,毛坯,100.786579,22.026875,1/2/3/4居,俊都大城,俊都大城,俊都大城住宅,北环大道（老大桥到万达之间）,北环大道临时蔬菜批发市场旁,8500,8200,北环大道（老大桥到万达之间）,jddcaftmf,['全款9.7折  贷款9.9折'],[],"[{'bedroom_count': '1', 'area_range': '60㎡'}, {'bedroom_count': '2', 'area_range': '79-86㎡'}, {'bedroom_count': '3', 'area_range': '125-132㎡'}, {'bedroom_count': '4', 'area_range': '177㎡'}]","['小户型', '自持商业', '近主干道', '现房']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-03-31,0,200000,8200,元/平,均价,39天,2019-09-26 17:32:35,2,,2,0,均价8200元/平,101,"[{'id': 'img_5060061', 'image_id': '5060061', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/21e80c015ead0506a85a4eddf79facba.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/21e80c015ead0506a85a4eddf79facba.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/21e80c015ead0506a85a4eddf79facba.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/21e80c015ead0506a85a4eddf79facba.jpg!m_fill,w_1440,l_rorate_logo'}]",8200,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,48,万/套起,7954,元/平起,2018-07-13 18:36:47,大型社区   购物便捷,0,0,[],[],243852245047779328,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779328"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""101041""}",,/loupan/p_jddcaftmf/,[],,['全款9.7折  贷款9.9折'],,4,楼盘亮点,大型社区   购物便捷
0,,101042,8716125334237313,532800,西双版纳傣族自治州,https://image1.ljcdn.com/hdic-resblock/758cb794-87a5-42be-b5b2-3822bf712eb6.png,0,0,景洪市,景洪市,23011840,1100006030,嘎栋,8716125334237313,3,,,建面,精装修,100.792474,22.034364,,沧江之都,沧江之都,,噶兰北路12号,嘎兰北路12号 老大桥旁,18000,18000,噶兰北路12号,cjzdaftmg,[],[],[],"['旅游地产', '现房', '车位充足', '成熟商圈']","[{'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2017-06-01,0,600000,18000,元/平,均价,306天,2019-01-02 10:04:22,2,,0,0,均价18000元/平,101,"[{'id': 'img_4116174', 'image_id': '4116174', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/cfb6e412-0335-4df0-99f3-f9c8c5f72f2c.JPG', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/cfb6e412-0335-4df0-99f3-f9c8c5f72f2c.JPG!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/cfb6e412-0335-4df0-99f3-f9c8c5f72f2c.JPG!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/cfb6e412-0335-4df0-99f3-f9c8c5f72f2c.JPG!m_fill,w_1440,l_rorate_logo'}]",18000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-07-13 18:10:05,江畔小区  高层住宅,0,0,[],[],243852245047779329,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779329"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""101042""}",,/loupan/p_cjzdaftmg/,[],,[],,4,楼盘亮点,江畔小区  高层住宅
0,,101049,8716125386679869,532800,西双版纳傣族自治州,https://image1.ljcdn.com/newhouse-user-image/ddd918b7f3dbe54c00e614d239ee4b8f.jpg,42,193,景洪市,景洪市,23011840,1100006033,中心城区,8716125386679869,3,建面 42-193㎡,42-193㎡,建面,毛坯,100.811543,22.011346,1/2/4居,西双十贰城,西双十贰城,"浩宇.滨江双塔,浩宇.滨江公馆",勐海路2号浩宇滨江大道,新大桥南侧勐海路2号,14500,12000,勐海路2号浩宇滨江大道,xssecaftmn,[],[],"[{'bedroom_count': '1', 'area_range': '42㎡'}]","['小户型', '自持商业', '近主干道', '现房']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2012-04-01,0,500000,12000,元/平,均价,237天,2019-03-12 17:40:59,2,,0,0,均价12000元/平,101,"[{'id': 'img_4116487', 'image_id': '4116487', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/4939ae86-8817-4d64-b52c-31e4ebbe10d8.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/4939ae86-8817-4d64-b52c-31e4ebbe10d8.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/4939ae86-8817-4d64-b52c-31e4ebbe10d8.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/4939ae86-8817-4d64-b52c-31e4ebbe10d8.jpg!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,50.4,万/套起,12000,元/平起,2018-07-13 18:54:31,商业中心带公园的公寓,0,0,[],[],243852245047779330,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779330"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""101049""}",,/loupan/p_xssecaftmn/,[],,[],,4,楼盘亮点,商业中心带公园的公寓
0,,101058,8716125682377931,532800,西双版纳傣族自治州,https://image1.ljcdn.com/hdic-resblock/9b59af3d-5253-4ceb-8609-1b30828839b6.jpg,40,40,景洪市,景洪市,23011840,1100006033,中心城区,8716125682377931,3,建面 40㎡,40㎡,建面,精装修,100.810263,22.011111,1居,王府广场,王府广场,景洪王府广场,孙金巷10号（州小学旁）,孙金巷10号（州小学旁）,19000,13000,孙金巷10号（州小学旁）,wfgcaftmw,[],[],"[{'bedroom_count': '1', 'area_range': '40.5㎡'}]","['小户型', '旅游地产', '公交直达', '近主干道']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-06-25,0,1050000,13000,元/平,均价,190天,2019-04-28 17:05:19,2,,0,0,均价13000元/平,101,"[{'id': 'img_4116601', 'image_id': '4116601', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/e2c5d528-421a-4cc6-99db-cf7bc1ff2ca0.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/e2c5d528-421a-4cc6-99db-cf7bc1ff2ca0.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/e2c5d528-421a-4cc6-99db-cf7bc1ff2ca0.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/e2c5d528-421a-4cc6-99db-cf7bc1ff2ca0.jpg!m_fill,w_1440,l_rorate_logo'}]",13000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,50,万/套起,12345,元/平起,2018-07-13 18:14:56,城市中心精装房,0,0,[],[],243852245047779331,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779331"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""101058""}",,/loupan/p_wfgcaftmw/,[],,[],,4,楼盘亮点,城市中心精装房
0,,101069,8716127282339994,532800,西双版纳傣族自治州,https://image1.ljcdn.com/hdic-resblock/d3800235-7a9c-42cb-8050-e90446996978.jpg,43,113,景洪市,景洪市,23011840,1100006031,江北,8716127282339994,3,建面 43-113㎡,43-113㎡,建面,精装修,100.838667,22.006395,1/2/3居,俊发滨江俊园,俊发滨江俊园,湄公河畔,勐罕路橄榄坝方向（告庄西双景斜对面）,勐罕路橄榄坝方向（告庄西双景斜对面）,16500,10000,勐罕路橄榄坝方向（告庄西双景斜对面）,jfbjjyaftnh,[],[],"[{'bedroom_count': '1', 'area_range': '54-102㎡'}, {'bedroom_count': '2', 'area_range': '68.34-89㎡'}, {'bedroom_count': '3', 'area_range': '113㎡'}]","['品牌房企', '小户型', '近主干道', '临近高速']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '46', 'desc': '临近高速', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-11-14,0,900000,10000,元/平,均价,53天,2019-09-12 16:00:09,2,,2,0,均价10000元/平,56,"[{'id': 'img_4116759', 'image_id': '4116759', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/a8b5aafb-604b-482b-8d1d-a68fb378ea66.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/a8b5aafb-604b-482b-8d1d-a68fb378ea66.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/a8b5aafb-604b-482b-8d1d-a68fb378ea66.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/a8b5aafb-604b-482b-8d1d-a68fb378ea66.jpg!m_fill,w_1440,l_rorate_logo'}]",10000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,70,万/套起,11946,元/平起,2018-09-23 15:36:56,品牌企业   江景房,0,0,[],[],243852245047779332,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779332"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""101069""}",,/loupan/p_jfbjjyaftnh/,[],,[],全款可享9.6折，分期9.9折,4,楼盘亮点,品牌企业   江景房
0,,101071,8716127559271153,532800,西双版纳傣族自治州,https://image1.ljcdn.com/hdic-resblock/8388f6dc-aa6f-45eb-a986-b8791699e95a.jpg,0,0,景洪市,景洪市,23011840,1100006031,江北,8716127559271153,3,,,建面,毛坯,100.818208,22.027655,,兴豪门,兴豪门,,江北澜沧江路原百果州位置,江北澜沧江路原百果州位置,11800,9800,江北澜沧江路原百果州位置,xhmaftnj,[],[],[],"['公交直达', '临近高速', '现房', '绿化率高']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '46', 'desc': '临近高速', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2013-04-99,0,0,9800,元/平,均价,241天,2019-03-08 11:49:11,2,,0,0,均价9800元/平,101,"[{'id': 'img_4116799', 'image_id': '4116799', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b348f507-dfba-4921-be76-74bdeb7015fa.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b348f507-dfba-4921-be76-74bdeb7015fa.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b348f507-dfba-4921-be76-74bdeb7015fa.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b348f507-dfba-4921-be76-74bdeb7015fa.jpg!m_fill,w_1440,l_rorate_logo'}]",9800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2019-06-17 14:15:07,江北片区高层住宅,0,0,[],[],243852245047779333,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779333"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""101071""}",,/loupan/p_xhmaftnj/,[],,[],,4,楼盘亮点,江北片区高层住宅
0,,457702,8716123069316503,532800,西双版纳傣族自治州,https://image1.ljcdn.com/hdic-resblock/51df845b-57b1-4814-9bf0-68f05713ff23.jpg,40,110,景洪市,景洪市,23011840,1100006029,嘎洒,8716123069316503,3,建面 40-110㎡,40-110㎡,建面,精装修,100.721643,21.940753,1/2/3居,雅居乐西双林语,雅居乐西双林语,雅居乐住宅,嘎洒镇214国道旁,嘎洒镇雅居乐大道西双林语售楼部,0,11500,嘎洒镇214国道旁,yjlslybabby,['全款9.4折  贷款9.8折'],[],"[{'bedroom_count': '1', 'area_range': '40-59㎡'}, {'bedroom_count': '2', 'area_range': '69-72㎡'}, {'bedroom_count': '3', 'area_range': '90-110㎡'}]","['品牌房企', '小户型', '低密居所', '绿化率高']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-10-14,0,0,11500,元/平,均价,230天,2019-03-19 16:54:28,2,,2,0,均价11500元/平,25,"[{'id': 'img_5110194', 'image_id': '5110194', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/14d645eba5aa1c9a83990fd13a5c173e.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/14d645eba5aa1c9a83990fd13a5c173e.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/14d645eba5aa1c9a83990fd13a5c173e.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/14d645eba5aa1c9a83990fd13a5c173e.jpg!m_fill,w_1440,l_rorate_logo'}]",11500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,38,万/套起,9491,元/平起,2018-12-20 18:36:54,品牌企业   公园住宅,0,0,[],[],243852245047779334,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779334"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""457702""}",,/loupan/p_yjlslybabby/,[],,['全款9.4折  贷款9.8折'],,4,楼盘亮点,品牌企业   公园住宅
0,,457708,8716122872134008,532800,西双版纳傣族自治州,https://image1.ljcdn.com/hdic-resblock/06f4f8ff-b5d0-4ae1-b3d2-90cb8d667054.jpg,80,680,景洪市,景洪市,23011840,1100006032,曼弄枫,8716122872134008,3,建面 80-680㎡,80-680㎡,建面,毛坯,100.804112,21.982938,2/3/5/6居,悦景庄,悦景庄,平安悦景庄,嘎洒旅游小镇西部G214国道北侧,嘎洒镇214国道旁悦景庄,23000,26000,嘎洒旅游小镇西部G214国道北侧,pajzbabce,[],[],"[{'bedroom_count': '2', 'area_range': '80.08-115.84㎡'}, {'bedroom_count': '5', 'area_range': '309.84㎡'}, {'bedroom_count': '6', 'area_range': '680.18㎡'}]","['一梯一户', '开发区', '现房', '低密居所']","[{'id': '36', 'desc': '一梯一户', 'color': ''}, {'id': '44', 'desc': '开发区', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-05-18,0,2180000,26000,元/平,均价,7天,2019-10-28 14:24:37,2,,0,0,均价26000元/平,101,"[{'id': 'img_4115618', 'image_id': '4115618', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/fe497f47-dce7-48da-a669-e457bc8bc8cf.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/fe497f47-dce7-48da-a669-e457bc8bc8cf.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/fe497f47-dce7-48da-a669-e457bc8bc8cf.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/fe497f47-dce7-48da-a669-e457bc8bc8cf.jpg!m_fill,w_1440,l_rorate_logo'}]",26000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,208,万/套起,25811,元/平起,2018-07-13 17:58:40,旅游中心  低密社区,0,0,[],[],243852245047779335,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779335"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""457708""}",,/loupan/p_pajzbabce/,[],,[],,4,楼盘亮点,旅游中心  低密社区
0,,457726,8716122872136210,532800,西双版纳傣族自治州,https://image1.ljcdn.com/hdic-resblock/26ac9362-87fa-42a1-a7e1-9cf26026505d.jpg,85,130,勐海县,勐海县,23011841,1100001266,勐海,8716122872136210,3,建面 85-130㎡,85-130㎡,建面,精装修,100.467701,21.983801,1/2/3居,勐巴拉国际旅游度假区,勐巴拉国际旅游度假区,,曼兴湖,西双版纳勐海曼兴湖,0,15000,曼兴湖,mblgjlydjqbabcw,[],[],"[{'bedroom_count': '1', 'area_range': '85㎡'}, {'bedroom_count': '2', 'area_range': '99㎡'}, {'bedroom_count': '3', 'area_range': '118-130㎡'}]","['绿化率高', '大型社区', '景区']","[{'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '66', 'desc': '景区', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-10-30,0,850000,15000,元/平,均价,301天,2019-01-07 17:48:12,2,,0,0,均价15000元/平,101,"[{'id': 'img_4115679', 'image_id': '4115679', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/fa4167e4-4662-4a4d-b67d-e59dbacbb842.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/fa4167e4-4662-4a4d-b67d-e59dbacbb842.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/fa4167e4-4662-4a4d-b67d-e59dbacbb842.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/fa4167e4-4662-4a4d-b67d-e59dbacbb842.jpg!m_fill,w_1440,l_rorate_logo'}]",15000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,127,万/套起,14941,元/平起,2018-07-13 18:35:15,公园地产    旅游小镇,0,0,[],[],243852245047779336,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779336"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""457726""}",,/loupan/p_mblgjlydjqbabcw/,[],,[],,4,楼盘亮点,公园地产    旅游小镇
0,,457740,8716122871086876,532800,西双版纳傣族自治州,https://image1.ljcdn.com/hdic-resblock/afb203f2-e7d1-4c40-8bfc-13ec6f846167.jpg,46,115,景洪市,景洪市,23011840,1100006032,曼弄枫,8716122871086876,3,建面 46-115㎡,46-115㎡,建面,精装修,100.816952,21.970957,1/2/3居,玖沐雨林,玖沐雨林,玖沐雨林住宅,国家级旅游度假区（勐泐大佛寺旁）,勐泐大佛寺旁,9700,12500,国家级旅游度假区（勐泐大佛寺旁）,jmylbabdk,[],[],"[{'bedroom_count': '1', 'area_range': '46.43-62㎡'}, {'bedroom_count': '2', 'area_range': '73.3-89.82㎡'}, {'bedroom_count': '3', 'area_range': '102.74-115.46㎡'}]","['小户型', '旅游地产', '开发区', '现房']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '44', 'desc': '开发区', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-09-30,0,620000,12500,元/平,均价,39天,2019-09-26 17:32:03,2,,0,0,均价12500元/平,101,"[{'id': 'img_4115420', 'image_id': '4115420', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/e6354354-92d9-49bc-9a05-dff0903dee31.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/e6354354-92d9-49bc-9a05-dff0903dee31.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/e6354354-92d9-49bc-9a05-dff0903dee31.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/e6354354-92d9-49bc-9a05-dff0903dee31.png!m_fill,w_1440,l_rorate_logo'}]",12500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,55,万/套起,10877,元/平起,2018-08-13 19:43:18,养老居所   景观小区,0,0,[],[],243852245047779337,"{""fb_query_id"":""243852244884201472"",""fb_expo_id"":""243852245047779337"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""457740""}",,/loupan/p_jmylbabdk/,[],,[],,4,楼盘亮点,养老居所   景观小区
