item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details
0,,100237,3820030551071452,610100,西安市,https://image1.ljcdn.com/hdic-resblock/ec1a31e4-6c06-480c-b3c5-48a9a3fb7465.jpg,112,166,雁塔,雁塔,23008900,611100803,曲江,3820030551071452,1,建面 112-166㎡,112-166㎡,建面,毛坯,109.005132,34.181133,3/4居,金地中心风华,金地中心风华,金地 · 中心风华,新开门南路与裴家崆路十字东南角,新开门南路与裴家崆路十字东南角（金地中心风华营销中心）,16500,0,新开门南路与裴家崆路十字东南角,jdzxfhafshh,[],[],[],"['品牌房企', '贴心物业', '公交直达', '环线房']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2019-06-04,0,0,0,元/平,均价,3天,2019-11-01 14:57:19,2,,0,0,价格待定,10,"[{'id': 'img_3739600', 'image_id': '3739600', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/8ad0fe99-46a9-489b-ba89-fcfc85796f69.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/8ad0fe99-46a9-489b-ba89-fcfc85796f69.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/8ad0fe99-46a9-489b-ba89-fcfc85796f69.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/8ad0fe99-46a9-489b-ba89-fcfc85796f69.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,0,万/套起,0,元/平起,2018-06-28 12:37:42,品牌房企 低密度社区,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243852259141251072,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251072"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100237""}",,/loupan/p_jdzxfhafshh/,[],,[],,4,楼盘亮点,品牌房企 低密度社区
0,,100616,3820031352339446,610100,西安市,https://image1.ljcdn.com/hdic-resblock/d4b74b1a-a9e3-4a26-9c76-d00639d35a69.png,100,186,雁塔,雁塔,23008900,611100677,城南,3820031352339446,3,建面 100-186㎡,100-186㎡,建面,精装修,108.941715,34.19115,3/4居,龙湖紫宸,龙湖紫宸,龙湖·紫宸,雁环中路与清凉寺东路十字西北角,雁环路与清凉山东路十字西北角,0,14499,雁环中路与清凉寺东路十字西北角,lhzcafsvw,[],[],"[{'bedroom_count': '4', 'area_range': '141㎡'}]","['品牌房企', '环线房', '大型社区', '人车分流']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-10-16,0,1930000,14499,元/平,均价,3天,2019-11-01 14:57:19,2,,0,0,均价14499元/平,8,"[{'id': 'img_3741497', 'image_id': '3741497', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/eff2e59b-6ddd-475b-a0c3-e037948581d0.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/eff2e59b-6ddd-475b-a0c3-e037948581d0.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/eff2e59b-6ddd-475b-a0c3-e037948581d0.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/eff2e59b-6ddd-475b-a0c3-e037948581d0.jpg!m_fill,w_1440,l_rorate_logo'}]",14499,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,193,万/套起,13687,元/平起,2018-06-25 11:07:54,城南客运站一路之隔,0,0,[],[],243852259141251073,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251073"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100616""}",,/loupan/p_lhzcafsvw/,[],,[],,4,楼盘亮点,城南客运站一路之隔
0,,100841,3820032373270763,610100,西安市,https://image1.ljcdn.com/hdic-resblock/8e213a96-02ac-49aa-9939-5cbad670d64d.jpg,172,215,雁塔,雁塔,23008900,611100677,城南,3820032373270763,3,建面 172-215㎡,172-215㎡,建面,毛坯,108.915725,34.218046,3/4居,绿城高新诚园,绿城高新诚园,绿城·高新诚园,电子四路与太白南路交汇处东北角,电子四路与太白南路交汇处东北角,23690,23600,电子四路与太白南路交汇处东北角,yzxaften,[],[],"[{'bedroom_count': '3', 'area_range': '215㎡'}, {'bedroom_count': '4', 'area_range': '172㎡'}]","['科技住宅', '环线房', '车位充足']","[{'id': '100', 'desc': '安心房源', 'color': ''}, {'id': '27', 'desc': '科技住宅', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-18,0,4060000,23600,元/平,均价,3天,2019-11-01 14:57:19,2,,2,0,均价23600元/平,101,"[{'id': 'img_3742908', 'image_id': '3742908', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/f81a169a-bc0a-4833-9e62-a7bf5964e1a3.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/f81a169a-bc0a-4833-9e62-a7bf5964e1a3.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/f81a169a-bc0a-4833-9e62-a7bf5964e1a3.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/f81a169a-bc0a-4833-9e62-a7bf5964e1a3.jpg!m_fill,w_1440,l_rorate_logo'}]",23600,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,406,万/套起,23604,元/平起,2018-07-03 16:52:56,电子城板块 改善型四室住宅,0,0,"[{'desc': '安心房源', 'color': '3FB5F3', 'text_color': 'FFFFFF'}]","[{'desc': '安心房源', 'color': '3FB5F3', 'text_color': 'FFFFFF'}]",243852259141251074,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251074"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100841""}",,/loupan/p_yzxaften/,[],,[],,4,楼盘亮点,电子城板块 改善型四室住宅
0,,100867,3820032356485020,610100,西安市,https://image1.ljcdn.com/newhouse-user-image/80e3c5956941f03e15ca854d1c02ee04.jpg,170,190,长安,长安,23008795,611100675,长安,3820032356485020,3,建面 170-190㎡,170-190㎡,建面,毛坯,108.852139,34.137275,3居,龙湖·天鉅,龙湖·天鉅,龙湖双珑原著,西沣路（西安电子科技大学北侧）,西沣路（西安电子科技大学北侧）,24000,24000,西沣路（西安电子科技大学北侧）,lhslyzaftfn,[],[],"[{'bedroom_count': '3', 'area_range': '170-190㎡'}]","['品牌房企', '贴心物业', '环线房', '近主干道']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2019-07-20,0,3500000,350,万/套,总价,3天,2019-11-01 14:57:19,2,,0,0,总价350万/套,8,"[{'id': 'img_4994008', 'image_id': '4994008', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/80e3c5956941f03e15ca854d1c02ee04.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/80e3c5956941f03e15ca854d1c02ee04.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/80e3c5956941f03e15ca854d1c02ee04.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/80e3c5956941f03e15ca854d1c02ee04.jpg!m_fill,w_1440,l_rorate_logo'}]",24000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,400,万/套起,21052,元/平起,2018-07-04 13:21:39,高新CID别墅 品牌开发,0,0,[],[],243852259141251075,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251075"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100867""}",,/loupan/p_lhslyzaftfn/,[],,[],,4,楼盘亮点,高新CID别墅 品牌开发
0,,100969,3820032282019433,610100,西安市,https://image1.ljcdn.com/hdic-resblock/3711c2ad-8fb8-4838-8d5c-7d349496963e.JPG,124,147,西咸新区（西安）,西咸新区（西安）,990008,611101335,西咸,3820032282019433,3,建面 124-147㎡,124-147㎡,建面,毛坯,108.726344,34.305308,3/4居,千林学府广场,千林学府广场,怡莘花园,沣西新城统一路86号,沣西新城统一路86号,9300,8500,沣西新城统一路86号,qlxfgcaftjl,[],[],"[{'bedroom_count': '4', 'area_range': '143.27-147.83㎡'}]","['环线房', '小型社区', '人车分流']","[{'id': '23', 'desc': '环线房', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-06-05,0,1230000,8500,元/平,均价,3天,2019-11-01 14:57:19,2,,0,0,均价8500元/平,101,"[{'id': 'img_3742537', 'image_id': '3742537', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/42db6ccf-188e-4bd3-861f-cc4a95a78cac.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/42db6ccf-188e-4bd3-861f-cc4a95a78cac.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/42db6ccf-188e-4bd3-861f-cc4a95a78cac.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/42db6ccf-188e-4bd3-861f-cc4a95a78cac.jpg!m_fill,w_1440,l_rorate_logo'}]",8500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,122,万/套起,8455,元/平起,2018-08-13 09:42:46,改善型房源在售,0,0,[],[],243852259141251076,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251076"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100969""}",,/loupan/p_qlxfgcaftjl/,[],,[],,4,楼盘亮点,改善型房源在售
0,,10314,388367956832145,610100,西安市,https://image1.ljcdn.com/hdic-resblock/e194d692-c233-4091-96f2-46f144365ac9.jpg,350,380,灞桥,灞桥,23008791,611100672,浐灞,388367956832145,3,建面 350-380㎡,350-380㎡,建面,毛坯,109.03988056843,34.350906689922,4/5居,湾流,湾流,泛华湾流,世博大道与欧亚大道交汇处（灞河东岸）,欧亚大道与灞河交汇处东北角,0,23000,世博大道与欧亚大道交汇处（灞河东岸）,wlaapgs,[],[],"[{'bedroom_count': '4', 'area_range': '350㎡'}, {'bedroom_count': '5', 'area_range': '380㎡'}]","['贴心物业', '环线房', '近主干道', '现房']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2019-01-09,0,8050000,23000,元/平,均价,21天,2019-10-14 15:34:13,2,,0,0,均价23000元/平,101,"[{'id': 'img_3265877', 'image_id': '3265877', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/2e250b56-e511-4da3-9c06-526b0abd0a7d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/2e250b56-e511-4da3-9c06-526b0abd0a7d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/2e250b56-e511-4da3-9c06-526b0abd0a7d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/2e250b56-e511-4da3-9c06-526b0abd0a7d.jpg!m_fill,w_1440,l_rorate_logo'}]",23000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,494,万/套起,13000,元/平起,0000-00-00 00:00:00,浐灞低密别墅区,0,0,[],[],243852259141251077,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251077"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""10314""}",,/loupan/p_wlaapgs/,[],,[],,4,楼盘亮点,浐灞低密别墅区
0,,11153,3811064148098,610100,西安市,https://image1.ljcdn.com/hdic-resblock/6a1f391d-c145-4ca9-a69f-a54d63c9eb60.jpg,104,115,长安,长安,23008795,611100675,长安,3811064148098,1,建面 104-115㎡,104-115㎡,建面,毛坯,108.996932,34.169007,3居,英郡年华国际社区,英郡年华国际社区,英郡年华,航天大道与神舟六路交汇处向南500米,航天大道与神舟六路交汇处向南500米,0,10000,航天大道与神舟六路交汇处向南500米,yjnhaaqmz,[],[],"[{'bedroom_count': '3', 'area_range': '104-115㎡'}]","['环线房', '现房', '绿化率高', '天然氧吧']","[{'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '67', 'desc': '天然氧吧', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2018-10-99,0,1040000,10000,元/平,均价,3天,2019-11-01 14:57:19,2,,0,0,均价10000元/平,101,"[{'id': 'img_3032480', 'image_id': '3032480', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/125196ab-f454-422e-a987-49edefee1256.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/125196ab-f454-422e-a987-49edefee1256.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/125196ab-f454-422e-a987-49edefee1256.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/125196ab-f454-422e-a987-49edefee1256.jpg!m_fill,w_1440,l_rorate_logo'}]",10000,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,104,万/套起,10000,元/平起,2017-06-01 16:32:59,航天 临市人民医院 高层,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243852259141251078,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251078"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""11153""}",,/loupan/p_yjnhaaqmz/,[],,[],,4,楼盘亮点,航天 临市人民医院 高层
0,,11336,3810427949658064,610100,西安市,https://image1.ljcdn.com/hdic-resblock/053cac1c-8c21-427d-99f4-28715b06f82a.png,192,203,灞桥,灞桥,23008791,611100672,浐灞,3810427949658064,3,建面 192-203㎡,192-203㎡,建面,毛坯,109.043718,34.310269,4居,桃源漫步,桃源漫步,"御景·水岸花园, 御景水岸花园",金桥三路与浐河东路东南角,金桥三路与浐河东路东南角（桃花潭公园东60米）,24000,24000,金桥三路与浐河东路东南角,tymbaaqua,[],[],"[{'bedroom_count': '4', 'area_range': '192-203㎡'}]","['贴心物业', '近主干道', '车位充足']","[{'id': '100', 'desc': '安心房源', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-07-21,0,4600000,24000,元/平,均价,25天,2019-10-10 16:53:38,2,,2,0,均价24000元/平,101,"[{'id': 'img_3718286', 'image_id': '3718286', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/8bfc0335-2997-441f-92c1-9932447a2e78.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/8bfc0335-2997-441f-92c1-9932447a2e78.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/8bfc0335-2997-441f-92c1-9932447a2e78.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/8bfc0335-2997-441f-92c1-9932447a2e78.png!m_fill,w_1440,l_rorate_logo'}]",24000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,461,万/套起,24000,元/平起,2017-04-06 15:46:59,精装三居室 均价13000元起,0,0,"[{'desc': '安心房源', 'color': '3FB5F3', 'text_color': 'FFFFFF'}]","[{'desc': '安心房源', 'color': '3FB5F3', 'text_color': 'FFFFFF'}]",243852259141251079,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251079"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""11336""}",,/loupan/p_tymbaaqua/,[],,[],全款9.7折，按揭9.8折，总价再减十万元。,4,楼盘亮点,精装三居室 均价13000元起
0,,11808,3811401268047279,610100,西安市,https://image1.ljcdn.com/hdic-resblock/455329b5-93b4-4a2d-8063-700886ae3228.jpg,54,129,雁塔,雁塔,23008900,613000835,高新,3811401268047279,3,建面 54-129㎡,54-129㎡,建面,精装修,108.889214,34.257773,1/2/3居,元谷,元谷,水滴Uhome,昆明路与团结南路十字东南角,昆明路与团结南路交汇处东南角,21000,16000,昆明路与团结南路十字东南角,sduaarme,[],[],"[{'bedroom_count': '1', 'area_range': '103㎡'}, {'bedroom_count': '2', 'area_range': '54.3-82.36㎡'}, {'bedroom_count': '3', 'area_range': '107.19-129㎡'}]","['小户型', 'loft', '公交直达']","[{'id': '100', 'desc': '安心房源', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '15', 'desc': 'loft', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-09-28,0,1800000,16000,元/平,均价,7天,2019-10-28 15:57:00,2,,2,0,均价16000元/平,101,"[{'id': 'img_3719153', 'image_id': '3719153', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/1d8d44e7-2fd5-4a29-a6af-56a20a5087cf.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/1d8d44e7-2fd5-4a29-a6af-56a20a5087cf.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/1d8d44e7-2fd5-4a29-a6af-56a20a5087cf.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/1d8d44e7-2fd5-4a29-a6af-56a20a5087cf.jpg!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,163,万/套起,15968,元/平起,2018-11-08 10:13:32,70年产权 loft平层在售,0,0,"[{'desc': '安心房源', 'color': '3FB5F3', 'text_color': 'FFFFFF'}]","[{'desc': '安心房源', 'color': '3FB5F3', 'text_color': 'FFFFFF'}]",243852259141251080,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251080"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""11808""}",,/loupan/p_sduaarme/,[],,[],,4,楼盘亮点,70年产权 loft平层在售
0,,12353,3812353502457190,610100,西安市,https://image1.ljcdn.com/hdic-resblock/e6ddcb9a-3e6a-443f-8044-123203ecd520.jpg,35,35,雁塔,雁塔,23008900,611100677,城南,3812353502457190,3,建面 35㎡,35㎡,建面,毛坯,108.913078,34.215412,1居,天地源悦熙广场,天地源悦熙广场,天地源·悦熙广场,太白南路与电子三路交汇处东北角,太白南路与电子三路交汇处东北角,0,17500,太白南路与电子三路交汇处东北角,tdyyxgcaashd,[],[],"[{'bedroom_count': '1', 'area_range': '35㎡'}]","['小户型', 'loft', '环线房', '近主干道']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '15', 'desc': 'loft', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2019-06-12,0,650000,17500,元/平,均价,3天,2019-11-01 14:57:19,2,,0,0,均价17500元/平,101,"[{'id': 'img_3719942', 'image_id': '3719942', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/bc443e0d-9320-4218-bd21-8d5a2e6cbf91.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/bc443e0d-9320-4218-bd21-8d5a2e6cbf91.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/bc443e0d-9320-4218-bd21-8d5a2e6cbf91.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/bc443e0d-9320-4218-bd21-8d5a2e6cbf91.jpg!m_fill,w_1440,l_rorate_logo'}]",17500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,65,万/套起,18571,元/平起,2019-04-01 11:00:51,loft公寓  34-52,0,0,[],[],243852259141251081,"{""fb_query_id"":""243852259095113728"",""fb_expo_id"":""243852259141251081"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""12353""}",,/loupan/p_tdyyxgcaashd/,[],,[],,4,楼盘亮点,loft公寓  34-52
